date,year,tourney_name,surface,indoor,commitment,draw_size,url
19750407,1975,St. Louis WCT,Clay,Outdoor|Grass,"$60,000",32,https://www.atptour.com/en/scores/archive/st-louis/652/1975/results
19750407,1975,Barcelona,Clay,Outdoor|Grass,"$25,000",64,https://www.atptour.com/en/scores/archive/barcelona/278/1975/results
19750411,1975,Johannesburg - WCT,Clay,Outdoor|Grass,"$60,000",32,https://www.atptour.com/en/scores/archive/johannesburg/426/1975/results
19750414,1975,Denver WCT,Clay,Outdoor|Grass,"$60,000",32,https://www.atptour.com/en/scores/archive/denver/389/1975/results
19750414,1975,Tokyo WCT,Clay,Outdoor|Grass,"$60,000",32,https://www.atptour.com/en/scores/archive/tokyo/9037/1975/results
19750414,1975,Valencia,Clay,Outdoor|Grass,"$25,000",64,https://www.atptour.com/en/scores/archive/valencia/659/1975/results
19750421,1975,Charlotte WCT,Clay,Outdoor|Grass,"$60,000",32,https://www.atptour.com/en/scores/archive/charlotte/436/1975/results
19750421,1975,Houston WCT,Clay,Outdoor|Grass,"$60,000",32,https://www.atptour.com/en/scores/archive/houston/820/1975/results
19750421,1975,Stockholm - WCT,Clay,Outdoor|Grass,"$60,000",32,https://www.atptour.com/en/scores/archive/stockholm/666/1975/results
19750421,1975,Madrid,Clay,Outdoor|Grass,"$25,000",64,https://www.atptour.com/en/scores/archive/madrid/2026/1975/results
19750428,1975,Nice,Clay,Outdoor|Grass,"$25,000",64,https://www.atptour.com/en/scores/archive/nice/6120/1975/results
19750430,1975,World Doubles WCT,Clay,Outdoor|Grass,"$100,000",0,https://www.atptour.com/en/scores/archive/mexico-city/601/1975/results
19750505,1975,Munich,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/munich/308/1975/results
19750505,1975,Florence,Clay,Outdoor|Grass,"$25,000",32,https://www.atptour.com/en/scores/archive/florence/310/1975/results
19750507,1975,Dallas WCT,Clay,Outdoor|Grass,"$100,000",8,https://www.atptour.com/en/scores/archive/dallas/610/1975/results
19750512,1975,Las Vegas,Clay,Outdoor|Grass,"$150,000",32,https://www.atptour.com/en/scores/archive/las-vegas/413/1975/results
19750512,1975,Bournemouth,Clay,Outdoor|Grass,"$50,000",64,https://www.atptour.com/en/scores/archive/bournemouth/347/1975/results
19750519,1975,Hamburg,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/hamburg/414/1975/results
19750526,1975,Rome,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/rome/416/1975/results
19750526,1975,Dusseldorf,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/dusseldorf/661/1975/results
19750604,1975,Roland Garros,Clay,Outdoor|Grass,"",128,https://www.atptour.com/en/scores/archive/roland-garros/520/1975/results
19750616,1975,Nottingham,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/nottingham/350/1975/results
19750623,1975,Wimbledon,Clay,Outdoor|Grass,"",128,https://www.atptour.com/en/scores/archive/wimbledon/540/1975/results
19750707,1975,Bastad,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/bastad/316/1975/results
19750707,1975,Gstaad,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/gstaad/314/1975/results
19750707,1975,Kitzbuhel,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1975/results
19750714,1975,Chicago,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/chicago/411/1975/results
19750714,1975,Hilversum,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/hilversum/317/1975/results
19750714,1975,Istanbul,Clay,Outdoor|Grass,"$25,000",32,https://www.atptour.com/en/scores/archive/istanbul/2027/1975/results
19750721,1975,Washington,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/washington/418/1975/results
19750728,1975,Louisville,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/louisville/663/1975/results
19750728,1975,Cincinnati,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/cincinnati/422/1975/results
19750804,1975,Indianapolis,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/indianapolis/717/1975/results
19750804,1975,North Conway,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/north-conway/705/1975/results
19750811,1975,Montreal / Toronto,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/montreal/421/1975/results
19750811,1975,Columbus,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/columbus/343/1975/results
19750818,1975,Boston,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/boston/417/1975/results
19750818,1975,South Orange,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/south-orange/707/1975/results
19750827,1975,US Open,Clay,Outdoor|Grass,"$166,810",128,https://www.atptour.com/en/scores/archive/us-open/560/1975/results
19750915,1975,Los Angeles,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/los-angeles/423/1975/results
19750915,1975,Bermuda,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/bermuda/2014/1975/results
19750922,1975,San Francisco,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/san-francisco/424/1975/results
19750929,1975,Maui,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/maui/324/1975/results
19750929,1975,Aviles,Clay,Outdoor|Grass,"$25,000",32,https://www.atptour.com/en/scores/archive/aviles/2028/1975/results
19751006,1975,Madrid,Clay,Outdoor|Grass,"$75,000",64,https://www.atptour.com/en/scores/archive/madrid/309/1975/results
19751006,1975,Melbourne,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/melbourne/331/1975/results
19751013,1975,Sydney Indoor,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/sydney/427/1975/results
19751013,1975,Barcelona,Clay,Outdoor|Grass,"$75,000",64,https://www.atptour.com/en/scores/archive/barcelona/425/1975/results
19751020,1975,Tehran,Clay,Outdoor|Grass,"$100,000",64,https://www.atptour.com/en/scores/archive/tehran/2011/1975/results
19751020,1975,Perth,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/perth/243/1975/results
19751027,1975,Manila,Clay,Outdoor|Grass,"$75,000",32,https://www.atptour.com/en/scores/archive/manila/362/1975/results
19751027,1975,Paris Indoor,Clay,Outdoor|Grass,"$50,000",32,https://www.atptour.com/en/scores/archive/paris/7302/1975/results
