date,year,tourney_name,tourney_id,surface,indoor,commitment,draw_size,url
19980302,1998,Scottsdale,1998_433,Hard,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/scottsdale/433/1998/results
19980309,1998,ATP Masters 1000 Indian Wells,1998_404,Hard,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/indian-wells/404/1998/results
19980309,1998,Copenhagen,1998_481,Carpet,Indoor,$235000,32,https://www.atptour.com/en/scores/archive/copenhagen/481/1998/results
19980316,1998,ATP Masters 1000 Miami,1998_403,Hard,Outdoor,$2700000,96,https://www.atptour.com/en/scores/archive/miami/403/1998/results
19980323,1998,Casablanca,1998_360,Clay,Outdoor,$235000,32,https://www.atptour.com/en/scores/archive/casablanca/360/1998/results
19980406,1998,Estoril,1998_468,Clay,Outdoor,$625000,32,https://www.atptour.com/en/scores/archive/estoril/468/1998/results
19980406,1998,Chennai,1998_891,Hard,Outdoor,$430000,32,https://www.atptour.com/en/scores/archive/chennai/891/1998/results
19980406,1998,Hong Kong,1998_336,Hard,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/hong-kong/336/1998/results
19980413,1998,Barcelona,1998_425,Clay,Outdoor,$950000,56,https://www.atptour.com/en/scores/archive/barcelona/425/1998/results
19980413,1998,Tokyo,1998_329,Hard,Outdoor,$700000,56,https://www.atptour.com/en/scores/archive/tokyo/329/1998/results
19980420,1998,ATP Masters 1000 Monte Carlo,1998_410,Clay,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/monte-carlo/410/1998/results
19980420,1998,Orlando,1998_717,Clay,Outdoor,$289250,32,https://www.atptour.com/en/scores/archive/orlando/717/1998/results
19980427,1998,Munich,1998_308,Clay,Outdoor,$525000,32,https://www.atptour.com/en/scores/archive/munich/308/1998/results
19980427,1998,Prague,1998_379,Clay,Outdoor,$365000,32,https://www.atptour.com/en/scores/archive/prague/379/1998/results
19980427,1998,Atlanta,1998_409,Clay,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/atlanta/409/1998/results
19980504,1998,ATP Masters 1000 Hamburg,1998_414,Clay,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/hamburg/414/1998/results
19980504,1998,Coral Springs,1998_499,Clay,Outdoor,$270000,32,https://www.atptour.com/en/scores/archive/coral-springs/499/1998/results
19980511,1998,ATP Masters 1000 Rome,1998_416,Clay,Outdoor,$2450000,64,https://www.atptour.com/en/scores/archive/rome/416/1998/results
19980518,1998,World Team Cup,1998_615,Clay,Outdoor,$2450000,32,https://www.atptour.com/en/scores/archive/dusseldorf/615/1998/results
19980518,1998,St. Poelten,1998_306,Clay,Outdoor,$425000,32,https://www.atptour.com/en/scores/archive/st-poelten/306/1998/results
19980525,1998,Roland Garros,1998_520,Clay,Outdoor,$5026607,128,https://www.atptour.com/en/scores/archive/roland-garros/520/1998/results
19980608,1998,Halle,1998_500,Grass,Outdoor,$900000,32,https://www.atptour.com/en/scores/archive/halle/500/1998/results
19980608,1998,London / Queen's Club,1998_311,Grass,Outdoor,$750000,56,https://www.atptour.com/en/scores/archive/london/311/1998/results
19980608,1998,Bologna,1998_312,Clay,Outdoor,$340000,32,https://www.atptour.com/en/scores/archive/bologna/312/1998/results
19980615,1998,'s-Hertogenbosch,1998_440,Grass,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/s-hertogenbosch/440/1998/results
