Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,23,0,0,0,0
2,Andre Agassi,24,0,0,0,0
3,Boris Becker,27,0,0,0,0
4,Michael Chang,23,0,0,0,0
5,Sergi Bruguera,24,0,0,0,0
6,Goran Ivanisevic,23,0,0,0,0
7,Alberto Berasategui,21,0,0,0,0
8,Michael Stich,26,0,0,0,0
9,Yevgeny Kafelnikov,21,0,0,0,0
10,Richard Krajicek,23,0,0,0,0
11,Jim Courier,24,0,0,0,0
12,Wayne Ferreira,23,0,0,0,0
13,Todd Martin,24,0,0,0,0
14,Andrei Medvedev,20,0,0,0,0
15,Stefan Edberg,29,0,0,0,0
16,Magnus Larsson,24,0,0,0,0
17,Thomas Muster,27,0,0,0,0
18,Marc Rosset,24,0,0,0,0
19,Andrea Gaudenzi,21,0,0,0,0
20,Thomas Enqvist,20,0,0,0,0
21,Patrick Rafter,22,0,0,0,0
22,Jacco Eltingh,24,0,0,0,0
23,Alex Corretja,20,0,0,0,0
24,Jason Stoltenberg,24,0,0,0,0
25,Bernd Karbacher,26,0,0,0,0
26,Karel Novacek,29,0,0,0,0
27,Slava Dosedel,24,0,0,0,0
28,David Wheaton,25,0,0,0,0
29,Carlos Costa,26,0,0,0,0
30,Guy Forget,30,0,0,0,0
31,Javier Sanchez,27,0,0,0,0
32,Petr Korda,27,0,0,0,0
33,Paul Haarhuis,29,0,0,0,0
34,Mark Woodforde,29,0,0,0,0
35,Aaron Krickstein,27,0,0,0,0
36,Francisco Clavet,26,0,0,0,0
37,Andrei Chesnokov,29,0,0,0,0
38,Alexander Volkov,28,0,0,0,0
39,Olivier Delaitre,27,0,0,0,0
40,Jaime Yzaga,27,0,0,0,0
41,Chuck Adams,23,0,0,0,0
42,Jared Palmer,23,0,0,0,0
43,Richard Fromberg,24,0,0,0,0
44,Jonas Bjorkman,22,0,0,0,0
45,Horst Skoff,26,0,0,0,0
46,MaliVai Washington,25,0,0,0,0
47,Richey Reneberg,29,0,0,0,0
48,Lionel Roux,21,0,0,0,0
49,Martin Damm,22,0,0,0,0
50,Renzo Furlan,24,0,0,0,0
51,Jan Siemerink,24,0,0,0,0
52,Fabrice Santoro,22,0,0,0,0
53,Brett Steven,25,0,0,0,0
54,Gilbert Schaller,25,0,0,0,0
55,Cedric Pioline,25,0,0,0,0
56,Albert Costa,19,0,0,0,0
57,Karol Kucera,21,0,0,0,0
58,Arnaud Boetsch,25,0,0,0,0
59,Daniel Vacek,23,0,0,0,0
60,Marcelo Filippini,27,0,0,0,0
61,Markus Zoecke,26,0,0,0,0
62,Vincent Spadea,20,0,0,0,0
63,Hendrik Dreekmann,20,0,0,0,0
64,Tomas Carbonell,26,0,0,0,0
65,Jonathan Stark,23,0,0,0,0
66,Martin Sinner,27,0,0,0,0
67,Jeremy Bates,32,0,0,0,0
68,Andrei Olhovskiy,28,0,0,0,0
69,Fernando Meligeni,23,0,0,0,0
70,Jim Grabb,30,0,0,0,0
71,Franco Davin,25,0,0,0,0
72,Henrik Holm,26,0,0,0,0
73,Jeff Tarango,26,0,0,0,0
74,Patrick McEnroe,28,0,0,0,0
75,Gianluca Pozzi,29,0,0,0,0
76,Jakob Hlasek,30,0,0,0,0
77,Byron Black,25,0,0,0,0
78,Christian Ruud,22,0,0,0,0
79,Greg Rusedski,21,0,0,0,0
80,Amos Mansdorf,29,0,0,0,0
81,Marcelo Rios,19,0,0,0,0
82,Oscar Martinez,21,0,0,0,0
83,David Prinosil,22,0,0,0,0
84,Kenneth Carlsen,21,0,0,0,0
85,Jordi Arrese,30,0,0,0,0
86,Emilio Sanchez,29,0,0,0,0
87,Oliver Gross,21,0,0,0,0
88,Bryan Shelton,29,0,0,0,0
89,Marc-Kevin Goellner,24,0,0,0,0
90,Jamie Morgan,23,0,0,0,0
91,Lars Rehmann,19,0,0,0,0
92,Anders Jarryd,33,0,0,0,0
93,Todd Woodbridge,23,0,0,0,0
94,Jan Apell,25,0,0,0,0
95,Sebastien Lareau,21,0,0,0,0
96,Joern Renzenbrink,22,0,0,0,0
97,Radomir Vasek,22,0,0,0,0
98,Mark Petchey,24,0,0,0,0
99,Marcos Ondruska,22,0,0,0,0
100,Michael Tebbutt,24,0,0,0,0
101,Karim Alami,21,0,0,0,0
102,Karsten Braasch,27,0,0,0,0
103,Nicolas Pereira,24,0,0,0,0
104,Gabriel Markus,24,0,0,0,0
105,Carl-Uwe Steeb,27,0,0,0,0
106,Javier Frana,28,0,0,0,0
107,Ronald Agenor,30,0,0,0,0
108,Frederik Fetterlein,24,0,0,0,0
109,Christian Bergstrom,27,0,0,0,0
110,Paul Wekesa,27,0,0,0,0
111,Cristiano Caratti,24,0,0,0,0
112,Luiz Mattar,31,0,0,0,0
113,David Rikl,24,0,0,0,0
114,Ivan Lendl,35,0,0,0,0
115,Tommy Ho,21,0,0,0,0
116,Bohdan Ulihrach,20,0,0,0,0
117,Alexander Mronz,29,0,0,0,0
118,Mauricio Hadad,23,0,0,0,0
119,Filip Dewulf,22,0,0,0,0
120,Stefano Pescosolido,23,0,0,0,0
121,Alejo Mancisidor,24,0,0,0,0
122,Hernan Gumy,23,0,0,0,0
123,Henri Leconte,31,0,0,0,0
124,Lars Jonsson,24,0,0,0,0
125,Leander Paes,21,0,0,0,0
126,Michael Joyce,22,0,0,0,0
127,Jordi Burillo,22,0,0,0,0
128,Mats Wilander,30,0,0,0,0
129,Jean-Philippe Fleurian,29,0,0,0,0
130,Younes El Aynaoui,23,0,0,0,0
131,Sandor Noszaly,22,0,0,0,0
132,Nuno Marques,24,0,0,0,0
133,Shuzo Matsuoka,27,0,0,0,0
134,Alex O'Brien,25,0,0,0,0
135,Sjeng Schalken,18,0,0,0,0
136,Guillaume Raoux,25,0,0,0,0
137,Kris Goossens,21,0,0,0,0
138,Arne Thoms,24,0,0,0,0
139,Jan Kroslak,20,0,0,0,0
140,Juan Albert Viloca-Puig,22,0,0,0,0
141,Nicklas Kulti,23,0,0,0,0
142,Diego Nargiso,24,0,0,0,0
143,Wally Masur,31,0,0,0,0
144,Carsten Arriens,25,0,0,0,0
