Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,25,5684,16,0,0
2,Thomas Muster,29,3719,25,0,0
3,Michael Chang,25,3601,21,0,0
4,Yevgeny Kafelnikov,23,3207,22,0,0
5,Goran Ivanisevic,25,3003,26,0,0
6,Richard Krajicek,25,2601,21,0,0
7,Thomas Enqvist,23,2312,28,0,0
8,Carlos Moya,20,2188,31,0,0
9,Marcelo Rios,21,2168,26,0,0
10,Wayne Ferreira,25,1940,26,0,0
11,Boris Becker,29,1863,14,0,0
12,Albert Costa,21,1857,28,0,0
13,Andre Agassi,26,1749,14,0,0
14,Todd Martin,26,1711,18,0,0
15,Felix Mantilla,22,1681,33,0,0
16,Tim Henman,22,1611,23,0,0
17,Stefan Edberg,31,1533,20,0,0
18,Marc Rosset,26,1474,28,0,0
19,Alberto Berasategui,23,1462,33,0,0
20,Magnus Gustafsson,30,1450,18,0,0
21,Jan Siemerink,26,1388,27,0,0
22,Alex Corretja,22,1374,27,0,0
23,Richey Reneberg,31,1333,24,0,0
24,MaliVai Washington,27,1312,19,0,0
25,Petr Korda,29,1302,22,0,0
26,Jim Courier,26,1298,19,0,0
27,Bohdan Ulihrach,22,1275,31,0,0
28,Mark Philippoussis,20,1249,21,0,0
29,Jonas Bjorkman,24,1234,25,0,0
30,Todd Woodbridge,25,1213,23,0,0
31,Arnaud Boetsch,27,1178,22,0,0
32,Michael Stich,28,1175,18,0,0
33,Cedric Pioline,27,1154,21,0,0
34,Alex O'Brien,27,1099,22,0,0
35,Sergi Bruguera,26,1081,24,0,0
36,Francisco Clavet,28,1076,29,0,0
37,Greg Rusedski,23,1069,24,0,0
38,Javier Sanchez,29,1039,37,0,0
39,Jason Stoltenberg,26,995,22,0,0
40,Andrei Medvedev,22,969,25,0,0
41,Christian Ruud,24,956,30,0,0
42,Patrick Rafter,24,949,25,0,0
43,Martin Damm,24,947,28,0,0
44,Paul Haarhuis,31,941,27,0,0
45,Magnus Larsson,26,933,23,0,0
46,Byron Black,27,922,27,0,0
47,David Prinosil,24,899,25,0,0
48,Marc-Kevin Goellner,26,897,28,0,0
49,Daniel Vacek,25,877,29,0,0
50,Hernan Gumy,25,866,30,0,0
51,Thomas Johansson,21,865,27,0,0
52,Chris Woodruff,24,848,23,0,0
53,Jonathan Stark,25,835,22,0,0
54,Hendrik Dreekmann,22,828,23,0,0
55,Slava Dosedel,26,817,18,0,0
56,Alex Radulescu,22,805,27,0,0
57,Jiri Novak,21,802,24,0,0
58,Karol Kucera,23,791,28,0,0
59,Karim Alami,23,777,29,0,0
60,Bernd Karbacher,28,774,25,0,0
61,Dominik Hrbaty,19,737,26,0,0
62,Sandon Stolle,26,727,26,0,0
63,Hicham Arazi,23,718,32,0,0
64,Roberto Carretero,21,716,25,0,0
65,Vincent Spadea,22,714,24,0,0
66,Mikael Tillstrom,25,713,21,0,0
67,Gustavo Kuerten,20,712,25,0,0
68,Sjeng Schalken,20,709,28,0,0
69,Grant Stafford,25,687,22,0,0
70,Nicklas Kulti,25,685,22,0,0
71,Andrei Chesnokov,31,682,31,0,0
72,Jeff Tarango,28,658,25,0,0
73,Mark Woodforde,31,656,24,0,0
74,Renzo Furlan,26,640,27,0,0
75,Gilbert Schaller,28,631,30,0,0
76,Juan Albert Viloca-Puig,24,622,30,0,0
77,Adrian Voinea,22,609,24,0,0
78,Andrea Gaudenzi,23,604,23,0,0
79,Scott Draper,22,598,25,0,0
80,Marcelo Filippini,29,597,26,0,0
81,Kenneth Carlsen,23,590,27,0,0
82,Magnus Norman,20,587,23,0,0
83,Richard Fromberg,26,575,30,0,0
84,Alexander Volkov,30,564,20,0,0
85,Jan Kroslak,22,559,23,0,0
86,Lionel Roux,23,544,25,0,0
87,Tomas Carbonell,28,544,30,0,0
88,Fernando Meligeni,25,539,23,0,0
89,Patrik Fredriksson,23,537,26,0,0
90,Sargis Sargsian,23,528,27,0,0
91,Jakob Hlasek,32,514,17,0,0
92,Galo Blanco,20,506,34,0,0
93,Neville Godwin,22,501,18,0,0
94,Carlos Costa,28,496,24,0,0
95,Dennis Van Scheppingen,21,493,18,0,0
96,Johan Van Herck,22,485,29,0,0
97,Fabrice Santoro,24,483,25,0,0
98,Stephane Simian,29,479,27,0,0
99,Mariano Zabaleta,19,466,23,0,0
100,Guillaume Raoux,27,458,22,0,0
101,Nicolas Kiefer,19,457,18,0,0
102,Marcos Aurelio Gorriz,33,449,26,0,0
103,Leander Paes,23,447,26,0,0
104,Jerome Golmard,23,443,29,0,0
105,Javier Frana,30,440,21,0,0
106,Oliver Gross,23,438,24,0,0
107,Marcos Ondruska,24,430,24,0,0
108,Filip Dewulf,25,429,32,0,0
109,Thierry Champion,30,427,23,0,0
110,Sebastien Lareau,23,421,18,0,0
111,Doug Flach,26,408,14,0,0
112,Emilio Benfele Alvarez,24,398,20,0,0
113,Jordi Burillo,24,395,27,0,0
114,Lucas Arnold Ker,22,393,22,0,0
115,Daniel Nestor,24,389,17,0,0
116,Nicolas Lapentti,20,381,27,0,0
117,Michael Joyce,24,380,30,0,0
118,Orlin Stanoytchev,25,378,28,0,0
119,Jens Knippschild,22,376,16,0,0
120,Francisco Roig,28,372,12,0,0
121,Nicolas Pereira,26,371,24,0,0
122,Nuno Marques,26,368,27,0,0
123,Kevin Ullyett,24,353,17,0,0
124,Marcelo Charpentier,23,350,26,0,0
125,Brett Steven,27,349,11,0,0
126,Andrei Olhovskiy,30,348,23,0,0
127,Ignacio Truyol,23,343,17,0,0
128,Guy Forget,32,342,20,0,0
129,Geoff Grant,27,339,16,0,0
130,Younes El Aynaoui,25,338,21,0,0
131,Oleg Ogorodov,24,336,36,0,0
132,Franco Squillari,21,332,17,0,0
133,Tamer El Sawy,25,331,20,0,0
134,Andrei Cherkasov,26,328,29,0,0
135,Lars Jonsson,26,325,17,0,0
136,Andrei Pavel,23,325,22,0,0
137,Frederik Fetterlein,26,321,25,0,0
138,Martin Sinner,29,319,19,0,0
139,Alejandro Hernandez,19,319,23,0,0
140,Albert Portas,23,317,22,0,0
141,David Skoch,20,317,28,0,0
142,Marzio Martelli,25,316,15,0,0
143,Justin Gimelstob,20,315,24,0,0
144,David Wheaton,27,312,15,0,0
145,Eyal Ran,24,307,28,0,0
146,Gianluca Pozzi,31,302,24,0,0
147,Mauricio Hadad,25,301,15,0,0
148,Jaime Oncins,26,299,16,0,0
149,Kris Goossens,23,298,24,0,0
150,Marcello Craca,22,296,15,0,0
151,Jozsef Krocsko,28,296,21,0,0
152,Steve Bryan,26,292,18,0,0
153,Fernon Wibier,26,292,19,0,0
154,Martin Stringari,25,274,13,0,0
155,Lars Burgsmuller,21,273,17,0,0
156,Cristiano Caratti,26,272,21,0,0
157,Dirk Dier,25,270,22,0,0
158,Omar Camporese,28,270,25,0,0
159,Petr Luxa,25,269,23,0,0
160,Gaston Etlis,22,269,23,0,0
161,Fernando Vicente,20,268,21,0,0
162,Guillermo Canas,19,263,19,0,0
163,Roberto Jabali,26,262,20,0,0
164,Stefano Pescosolido,25,262,22,0,0
165,Jean-Philippe Fleurian,31,260,22,0,0
166,Tommy Haas,18,257,10,0,0
167,Dinu Pescariu,22,257,22,0,0
168,Dick Norman,26,255,23,0,0
169,Razvan Sabau,19,254,15,0,0
170,Mark Knowles,25,254,23,0,0
171,Shuzo Matsuoka,29,253,21,0,0
172,Juan Antonio Marin,22,248,16,0,0
173,Tomas Nydahl,28,248,21,0,0
174,Gouichi Motomura,23,245,18,0,0
175,Marco Meneschincheri,24,245,22,0,0
176,Luis Herrera,25,244,15,0,0
177,Gabriel Silberstein,22,242,9,0,0
178,Ion Moldovan,19,242,20,0,0
179,Arne Thoms,26,241,10,0,0
180,David Nainkin,26,241,20,0,0
181,Bryan Shelton,31,240,23,0,0
182,Gerard Solves,28,238,26,0,0
183,David Rikl,26,235,25,0,0
184,Ben Ellwood,21,234,16,0,0
185,Yong-Il Yoon,23,232,11,0,0
186,Cecil Mamiit,20,232,16,0,0
187,Jimy Szymanski,21,232,20,0,0
188,Jacobo Diaz,20,231,14,0,0
189,Mark Merklein,24,229,14,0,0
190,Stephane Huet,25,227,16,0,0
191,James Sekulov,20,227,17,0,0
192,Attila Savolt,21,225,16,0,0
193,Pablo Campana,24,224,16,0,0
194,Mark Petchey,26,221,20,0,0
195,Luis Adrian Morejon,23,219,22,0,0
196,Jeff Salzenstein,23,218,12,0,0
197,Chris Wilkinson,27,212,25,0,0
198,Grant Doyle,23,211,13,0,0
199,Vincenzo Santopadre,25,210,17,0,0
200,Alberto Martin,18,208,19,0,0
201,Mats Wilander,32,207,11,0,0
202,Albert Chang,26,205,20,0,0
203,Davide Scala,25,204,15,0,0
204,Nicola Bruno,26,204,20,0,0
205,Emilio Sanchez,31,204,21,0,0
206,Lars Rehmann,21,203,12,0,0
207,Olivier Delaitre,29,203,16,0,0
208,Michael Tebbutt,26,201,20,0,0
209,Oren Motevassel,29,200,6,0,0
210,Filippo Messori,23,199,29,0,0
211,Bernardo Mota,25,198,13,0,0
212,Steve Campbell,26,195,26,0,0
213,Juan Pino,31,194,10,0,0
214,Andrei Merinov,25,190,11,0,0
215,Jared Palmer,25,188,13,0,0
216,Daniele Musa,24,187,24,0,0
217,Mose Navarra,22,185,12,0,0
218,Gabrio Castrichella,24,182,12,0,0
219,Emanuel Couto,23,182,19,0,0
220,Frederic Fontang,26,178,22,0,0
221,Stefan Koubek,20,176,7,0,0
222,Martin Rodriguez,27,176,18,0,0
223,Daniele Balducci,26,175,21,0,0
224,Karsten Braasch,29,173,13,0,0
225,Rainer Schuettler,20,172,17,0,0
226,Ivo Heuberger,21,170,10,0,0
227,Eyal Erlich,20,170,10,0,0
228,Julian Alonso,19,168,13,0,0
229,Daniel Orsanic,28,168,15,0,0
230,Martijn Bok,24,167,6,0,0
231,Jim Grabb,32,166,11,0,0
232,Chris Haggard,25,166,13,0,0
233,Juan Balcells,21,165,12,0,0
234,Francisco Costa,23,165,14,0,0
235,Eduardo Medica,21,164,7,0,0
236,Bill Behrens,26,164,8,0,0
237,Sergio Cortes,29,164,14,0,0
238,Alexandre Strambini,21,163,12,0,0
239,Peter Tramacchi,26,162,11,0,0
240,Branislav Galik,23,162,15,0,0
241,Maurice Ruah,26,162,18,0,0
242,Hyung-Taik Lee,21,161,7,0,0
243,Raviv Weidenfeld,26,159,8,0,0
244,Frederic Vitoux,26,159,17,0,0
245,Juan-Luis Rascon-Lope,26,159,17,0,0
246,Miguel Pastura,23,157,17,0,0
247,Fabio Maggi,22,157,19,0,0
248,Satoshi Iwabuchi,21,156,9,0,0
249,Martin Hromec,21,155,16,0,0
250,Julien Chauvin,21,154,5,0,0
251,Wade McGuire,27,154,10,0,0
252,Alexander Reichel,26,154,12,0,0
253,Gabriel Trifu,21,154,18,0,0
254,German Puentes,24,153,10,0,0
255,Todd Larkham,22,153,11,0,0
256,Joao Cunha-Silva,29,153,20,0,0
257,Henrik Holm,28,152,4,0,0
258,Herbert Wiltschnig,21,150,18,0,0
259,Nir Welgreen,20,149,13,0,0
260,Glenn Weiner,20,148,12,0,0
261,Michael Sell,24,146,11,0,0
262,David Caldwell,22,146,11,0,0
263,Thierry Guardiola,25,146,14,0,0
264,Jerome Hanquez,23,144,11,0,0
265,Jamie Delgado,19,143,9,0,0
266,Nicklas Timfjord,19,142,5,0,0
267,Patricio Arnold,25,142,10,0,0
268,John van Lottum,20,142,12,0,0
269,Michal Tabara,17,141,7,0,0
270,Andrew Richardson,23,141,8,0,0
271,Mark Draper,26,139,6,0,0
272,Noam Behr,21,138,15,0,0
273,Lionel Barthez,29,137,8,0,0
274,Wayne Black,23,137,16,0,0
275,Giorgio Galimberti,20,0,9,0,0
276,Radomir Vasek,24,136,12,0,0
277,Hendrik Jan Davids,28,136,12,0,0
278,Davide Sanguinetti,24,135,8,0,0
279,Rainer Falenti,24,134,8,0,0
280,Arnaud Clement,19,134,8,0,0
281,Ramon Delgado,20,133,11,0,0
282,Laurence Tieleman,24,133,21,0,0
283,Alistair Hunt,24,131,7,0,0
284,Rogier Wassen,20,131,11,0,0
285,Andrew Ilie,20,131,11,0,0
286,Christian Vinck,21,131,12,0,0
287,Tuomas Ketola,22,130,18,0,0
288,Carlos Gomez-Diaz,28,129,6,0,0
289,Filippo Veglio,22,127,7,0,0
290,Jan-Michael Gambill,19,127,10,0,0
291,Carl-Uwe Steeb,29,127,14,0,0
292,David Caballero,22,126,10,0,0
293,Michael Geserer,27,126,13,0,0
294,Michael Kohlmann,23,125,10,0,0
295,Federico Browne,20,124,7,0,0
296,Andy Zingman,22,124,11,0,0
297,Axel Pretzsch,20,124,13,0,0
298,Lorenzo Manta,22,123,10,0,0
299,Radovan Svetlik,22,122,10,0,0
300,Martijn Belgraver,25,121,8,0,0
301,Kim Tiilikainen,21,121,8,0,0
302,Robbie Koenig,25,119,7,0,0
303,Oscar Burrieza-Lopez,21,118,7,0,0
304,Nick Weal,23,118,8,0,0
305,Fredrik Bergh,21,118,9,0,0
306,Danny Sapsford,27,118,10,0,0
307,Luke Milligan,20,118,15,0,0
308,Patrick Baur,31,118,18,0,0
309,Agustin Garizzio,26,117,6,0,0
310,Brian MacPhie,24,117,10,0,0
311,Pietro Angelini,25,116,8,0,0
312,Marcio Carlsson,22,115,8,0,0
313,Bing Chao Lin,23,114,5,0,0
314,Victor Sendin,21,114,14,0,0
315,Federico Dondo,25,112,8,0,0
316,Francisco Montana,27,112,11,0,0
317,Steven Downs,21,111,8,0,0
318,Leonardo Lavalle,29,111,12,0,0
319,Mahesh Bhupathi,22,110,10,0,0
320,Gregory Carraz,21,109,6,0,0
321,Thomas Schiessling,22,108,4,0,0
322,Wojtek Kowalski,29,108,16,0,0
323,Gaston Gaudio,18,107,5,0,0
324,Joost Winnink,25,107,8,0,0
325,Hideki Kaneko,23,107,10,0,0
326,Sule Ladipo,22,106,8,0,0
327,Alex Calatrava,23,105,6,0,0
328,Cyril Buscaglione,25,104,4,0,0
329,David Salvador-Estepa,23,103,8,0,0
330,Silvio Scaiola,26,101,6,0,0
331,Sander Groen,28,101,17,0,0
332,Massimo Valeri,25,100,4,0,0
333,Jean-Francois Bachelot,19,100,5,0,0
334,Dmitri Tomashevich,23,100,7,0,0
335,Nicolas Thomann,24,99,3,0,0
336,Salvador Navarro,20,98,7,0,0
337,Damian Furmanski,21,98,8,0,0
338,Tomas Catar,20,98,11,0,0
339,Christophe Van Garsse,22,97,2,0,0
340,Alejandro Aramburu,28,97,8,0,0
341,Oscar Serrano,18,97,8,0,0
342,Jacco Eltingh,26,97,13,0,0
343,Max Mirnyi,19,97,13,0,0
344,Chris Pressley,23,96,5,0,0
345,Burkhard Scholz,28,95,3,0,0
346,Miles MacLagan,22,93,6,0,0
347,Jordi Mas,25,93,6,0,0
348,Carsten Arriens,27,93,6,0,0
349,Markus Hipfl,18,93,7,0,0
350,Wolfgang Schranz,20,93,8,0,0
351,Mark Joachim,23,92,5,0,0
352,Andrei Rybalko,24,92,5,0,0
353,Aleksandar Kitinov,26,92,7,0,0
354,Nicolas Kischkewitz,22,0,4,0,0
355,Ota Fukarek,20,91,7,0,0
356,Franco Davin,27,91,13,0,0
357,Antony Dupuis,24,90,5,0,0
358,Pierre Bouteyre,25,90,6,0,0
359,Borut Urh,22,90,8,0,0
360,Jaymon Crabb,19,89,5,0,0
361,Guillaume Marx,24,0,6,0,0
362,Lars Kirschner,21,89,6,0,0
363,Americo Tupi Venero,25,89,7,0,0
364,Jean-Baptiste Perlant,20,89,8,0,0
365,Bartlomiej Dabrowski,24,87,6,0,0
366,Igor Tchelychev,20,86,4,0,0
367,Colin Beecher,26,86,14,0,0
368,Oscar Ortiz,23,86,16,0,0
369,Marcus Hilpert,25,85,7,0,0
370,Mariano Hood,23,85,7,0,0
371,Rodolphe Gilbert,28,0,12,0,0
372,Francisco Fogues,19,0,6,0,0
373,Edwin Kempes,20,84,6,0,0
374,Udo Plamberger,26,84,7,0,0
375,Sandor Noszaly,25,84,21,0,0
376,Jia-Ping Xia,28,83,5,0,0
377,Petr Dezort,22,0,6,0,0
378,Werner Eschauer,22,83,8,0,0
379,Sebastian Prieto,21,83,9,0,0
380,Marco Osorio,24,82,7,0,0
380,Andrei Stoliarov,20,82,7,0,0
382,Alexander Shvec,24,81,5,0,0
383,Gerald Fauser,22,80,4,0,0
384,Zoltan Nagy,21,0,6,0,0
385,Charles Auffray,24,80,10,0,0
386,Igor Gaudi,21,0,5,0,0
387,Ronald Agenor,32,79,9,0,0
388,Mikael Stadling,30,78,2,0,0
389,Jiri Vanek,18,0,5,0,0
390,Sebastien Grosjean,18,78,5,0,0
391,Bojan Vujic,22,78,6,0,0
392,Juan Antonio Saiz,19,78,7,0,0
393,Horst Skoff,28,78,7,0,0
394,Jose Imaz-Ruiz,22,78,9,0,0
395,Sasa Hirszon,24,77,7,0,0
396,Rodrigo Ferreiro,24,76,4,0,0
397,Denis Van Uffelen,25,76,5,0,0
398,Allen Belobrajdic,20,76,6,0,0
399,Lior Mor,21,76,7,0,0
400,Tomas Zib,21,76,13,0,0
401,Alex Lopez Moron,26,75,9,0,0
402,Federico Rovai,23,75,10,0,0
403,Scott Barron,22,74,5,0,0
404,David Dilucia,27,74,7,0,0
405,Mario Rincon,29,74,13,0,0
406,Marcos Daniel,18,73,4,0,0
407,Nicolas Coutelot,20,73,5,0,0
407,Nicolas Escude,20,73,5,0,0
409,Gerald Mandl,26,73,5,0,0
410,Scott Humphries,20,72,11,0,0
411,German Lopez,25,71,6,0,0
412,Peter Wessels,18,69,5,0,0
413,Markus Zillner,26,69,5,0,0
414,Patrick McEnroe,30,69,5,0,0
415,Iztok Bozic,25,68,5,0,0
417,Andres Schneiter,20,0,7,0,0
418,Nenad Zimonjic,20,67,7,0,0
419,Diego Nargiso,27,67,11,0,0
420,Ryuso Tsujino,28,0,5,0,0
421,Thomas Larsen,21,0,6,0,0
422,Guillermo Perez-Roldan,27,66,9,0,0
423,Goran Oresic,21,65,5,0,0
424,Roman Kukal,20,0,7,0,0
425,David Sanchez,18,64,6,0,0
426,Oscar Martinez,23,64,9,0,0
427,Chuck Adams,25,63,6,0,0
428,Mariano Puerta,18,62,2,0,0
429,Vladimir Voltchkov,18,62,5,0,0
430,Cristiano Testa,23,0,7,0,0
431,Igor Saric,29,61,4,0,0
432,Joern Renzenbrink,24,61,10,0,0
433,Paul Goldstein,20,60,3,0,0
434,Radek Stepanek,18,60,4,0,0
435,Sandro Della Piana,28,60,5,0,0
436,Kotaro Miyachi,23,60,6,0,0
437,Steven Randjelovic,21,60,8,0,0
438,Brian Dunn,22,59,5,0,0
439,Jamie Holmes,23,59,6,0,0
440,Andrew Foster,25,59,7,0,0
441,Daniel Courcol,27,59,8,0,0
442,Donald Johnson,28,59,8,0,0
443,Libor Nemecek,28,58,2,0,0
444,Christian Bergstrom,29,58,3,0,0
445,Elia Grossi,22,58,5,0,0
446,Kenny Thorne,31,58,5,0,0
447,Marat Safin,17,57,2,0,0
448,Pier Gauthier,24,57,4,0,0
449,Dimitri Poliakov,29,57,4,0,0
450,Jan Weinzierl,23,57,5,0,0
451,Erik Casas,22,57,7,0,0
452,Ricardo Rubio,25,57,8,0,0
453,Markus Hantschk,19,57,9,0,0
454,Michael Hill,22,56,3,0,0
454,Rene Nicklisch,20,56,3,0,0
456,Julian Knowle,22,56,5,0,0
457,Rodrigo Cerdera,20,56,6,0,0
458,Amir Hadad,19,56,7,0,0
459,Vaughan Snyman,23,55,6,0,0
460,Takao Suzuki,20,55,9,0,0
461,Joao Zwetsch,28,54,3,0,0
462,Fabio Beraldo,23,0,5,0,0
463,Leonardo Olguin,21,54,6,0,0
464,Jim Thomas,22,54,6,0,0
465,Jonathan Erlich,19,54,8,0,0
466,Nelson Aerts,33,0,9,0,0
467,Petr Pala,21,54,10,0,0
468,Jan Vacek,20,53,3,0,0
469,Francisco Cabello,24,52,2,0,0
470,Matthias A Muller,23,0,3,0,0
471,Mathias Hellstrom,19,52,4,0,0
472,Francisco Ruiz,24,0,5,0,0
473,Sascha Nensel,26,51,3,0,0
474,George Bastl,21,51,5,0,0
475,Pantelis Moschoutis,22,51,6,0,0
476,Joaquin Munoz-Hernandez,22,51,7,0,0
477,Bertrand Madsen,24,50,1,0,0
478,Julien Boutter,22,50,2,0,0
479,Tom Kempers,27,50,2,0,0
480,Jerome Loustalot,22,0,4,0,0
481,Bjorn Jacob,22,50,4,0,0
482,Adolf Musil,23,0,5,0,0
483,Jose Alejos,26,50,5,0,0
484,Jan Apell,27,50,5,0,0
485,Tom Spinks,20,50,7,0,0
486,Mehdi Tahiri,19,50,7,0,0
487,Ofer Sela,24,50,9,0,0
488,Heath Denman,26,49,2,0,0
489,Regis Lavergne,23,0,4,0,0
490,Juan Ignacio Carrasco,22,49,5,0,0
491,Benoit Carelli,25,49,5,0,0
492,Harel Levy,18,0,7,0,0
493,David Miketa,21,49,9,0,0
494,Noam Okun,18,0,6,0,0
