Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,26,5491,17,0,0
2,Michael Chang,25,3632,23,0,0
3,Yevgeny Kafelnikov,23,2693,25,0,0
4,Goran Ivanisevic,25,2614,26,0,0
5,Thomas Muster,29,2546,24,0,0
6,Carlos Moya,20,2449,29,0,0
7,Alex Corretja,23,2386,26,0,0
8,Sergi Bruguera,26,2342,24,0,0
9,Gustavo Kuerten,20,2190,28,0,0
10,Marcelo Rios,21,2117,28,0,0
11,Thomas Enqvist,23,2046,24,0,0
12,Felix Mantilla,22,1968,29,0,0
13,Boris Becker,29,1918,16,0,0
14,Patrick Rafter,24,1898,23,0,0
15,Albert Costa,22,1803,25,0,0
16,Petr Korda,29,1746,24,0,0
17,Jonas Bjorkman,25,1742,25,0,0
18,Richard Krajicek,25,1702,23,0,0
19,Mark Philippoussis,20,1632,21,0,0
20,Greg Rusedski,23,1601,22,0,0
21,Tim Henman,22,1559,22,0,0
22,Andrei Medvedev,22,1440,24,0,0
23,Cedric Pioline,28,1418,24,0,0
24,Magnus Norman,21,1391,29,0,0
25,Jim Courier,27,1382,21,0,0
26,Alberto Berasategui,24,1382,32,0,0
27,Marc Rosset,26,1306,31,0,0
28,Todd Woodbridge,26,1264,22,0,0
29,Chris Woodruff,24,1223,22,0,0
30,Magnus Larsson,27,1160,20,0,0
31,Arnaud Boetsch,28,1096,26,0,0
32,Karol Kucera,23,1082,30,0,0
33,Thomas Johansson,22,1067,29,0,0
34,Marc-Kevin Goellner,26,1066,29,0,0
35,Albert Portas,23,1040,25,0,0
36,Bohdan Ulihrach,22,1040,28,0,0
37,Jan Siemerink,27,1010,26,0,0
38,Javier Sanchez,29,997,36,0,0
39,Hicham Arazi,23,994,32,0,0
40,Filip Dewulf,25,975,27,0,0
41,Fabrice Santoro,24,958,28,0,0
42,Marcelo Filippini,30,958,30,0,0
43,Mark Woodforde,31,942,26,0,0
44,David Prinosil,24,911,24,0,0
45,Magnus Gustafsson,30,908,18,0,0
46,Slava Dosedel,27,899,19,0,0
47,Sjeng Schalken,20,883,27,0,0
48,Michael Stich,28,877,20,0,0
49,Martin Damm,25,860,26,0,0
50,Francisco Clavet,28,859,29,0,0
51,Jeff Tarango,28,859,29,0,0
53,Jiri Novak,22,852,23,0,0
54,Karim Alami,24,838,30,0,0
55,Wayne Ferreira,25,821,26,0,0
56,Jason Stoltenberg,27,820,23,0,0
57,Galo Blanco,20,814,33,0,0
58,Christian Ruud,25,810,25,0,0
59,Richey Reneberg,31,806,21,0,0
60,Brett Steven,28,799,16,0,0
61,Julian Alonso,20,794,19,0,0
62,Todd Martin,27,791,8,0,0
63,Andre Agassi,27,775,14,0,0
64,Guillaume Raoux,27,770,25,0,0
65,Byron Black,27,749,26,0,0
66,Scott Draper,23,728,27,0,0
67,Hendrik Dreekmann,22,713,22,0,0
68,Jonathan Stark,26,692,24,0,0
69,Hernan Gumy,25,691,30,0,0
70,Grant Stafford,26,687,24,0,0
71,Johan Van Herck,23,679,27,0,0
72,Sargis Sargsian,24,679,33,0,0
73,Paul Haarhuis,31,678,26,0,0
74,Nicolas Kiefer,20,670,15,0,0
75,Alex O'Brien,27,667,28,0,0
76,Mikael Tillstrom,25,644,23,0,0
77,Sandon Stolle,27,627,24,0,0
78,Tommy Haas,19,620,16,0,0
79,Stefan Edberg,31,616,6,0,0
80,Fernando Meligeni,26,610,26,0,0
81,Alex Radulescu,22,607,31,0,0
82,Lionel Roux,24,606,27,0,0
83,Daniel Vacek,26,605,31,0,0
84,Vincent Spadea,23,568,28,0,0
85,Renzo Furlan,27,560,30,0,0
86,Juan Albert Viloca-Puig,24,553,30,0,0
87,Nicolas Lapentti,21,545,29,0,0
88,Andrei Pavel,23,543,25,0,0
89,Justin Gimelstob,20,534,28,0,0
90,Carlos Costa,29,531,25,0,0
91,Dinu Pescariu,23,524,26,0,0
92,Kenneth Carlsen,24,519,27,0,0
93,Richard Fromberg,27,516,32,0,0
94,Gilbert Schaller,28,509,29,0,0
95,Davide Sanguinetti,24,508,21,0,0
96,Jan Kroslak,22,504,19,0,0
97,Juan Antonio Marin,22,498,25,0,0
98,Emilio Benfele Alvarez,24,470,30,0,0
99,Fernando Vicente,20,460,28,0,0
100,Jens Knippschild,22,457,19,0,0
101,Alberto Martin,19,448,23,0,0
102,Andrea Gaudenzi,24,446,28,0,0
103,Patrik Fredriksson,24,445,28,0,0
104,Marzio Martelli,25,442,26,0,0
105,Gianluca Pozzi,32,434,20,0,0
106,Martin Sinner,29,429,24,0,0
107,Adrian Voinea,23,423,25,0,0
108,Radomir Vasek,24,418,18,0,0
109,Jordi Burillo,24,418,30,0,0
110,Leander Paes,24,414,28,0,0
111,Francisco Roig,29,409,18,0,0
112,Marcos Ondruska,24,407,24,0,0
113,Andrei Chesnokov,31,401,15,0,0
114,Tomas Nydahl,29,401,23,0,0
115,Olivier Delaitre,30,399,19,0,0
116,Marcello Craca,22,397,19,0,0
117,Wayne Black,23,384,19,0,0
118,Orlin Stanoytchev,25,383,34,0,0
119,Jerome Golmard,23,381,28,0,0
120,Oleg Ogorodov,25,381,32,0,0
121,David Wheaton,28,375,9,0,0
122,Davide Scala,25,374,22,0,0
123,Oliver Gross,24,372,17,0,0
124,Alexander Volkov,30,371,16,0,0
125,Ramon Delgado,20,360,16,0,0
126,Nicolas Escude,21,355,8,0,0
127,Franco Squillari,22,353,23,0,0
128,Javier Frana,30,350,18,0,0
129,Ion Moldovan,19,348,29,0,0
130,Steve Campbell,26,347,22,0,0
131,Dennis Van Scheppingen,22,346,23,0,0
132,MaliVai Washington,28,345,10,0,0
133,Sebastien Lareau,24,341,20,0,0
134,Dick Norman,26,340,18,0,0
135,Bernd Karbacher,29,329,18,0,0
136,Razvan Sabau,20,329,26,0,0
137,Lucas Arnold Ker,22,327,25,0,0
138,Vincenzo Santopadre,26,325,21,0,0
139,Geoff Grant,27,325,21,0,0
140,Alex Calatrava,24,323,13,0,0
141,Frederik Fetterlein,27,323,18,0,0
142,Nicklas Kulti,26,321,22,0,0
143,Nuno Marques,27,317,21,0,0
144,Andrei Cherkasov,27,311,30,0,0
145,Kevin Ullyett,25,309,21,0,0
146,Stefan Koubek,20,304,17,0,0
147,Doug Flach,27,302,23,0,0
148,Martin Rodriguez,27,302,23,0,0
149,Guillermo Canas,19,300,22,0,0
150,Eyal Erlich,20,297,15,0,0
151,Jacobo Diaz,21,297,20,0,0
