Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,26,3825,17,0,0
2,Marcelo Rios,22,3719,22,0,0
3,Petr Korda,30,3195,21,0,0
4,Carlos Moya,21,3025,26,0,0
5,Patrick Rafter,25,2878,25,0,0
6,Greg Rusedski,24,2706,25,0,0
7,Yevgeny Kafelnikov,24,2601,31,0,0
8,Jonas Bjorkman,26,2581,25,0,0
9,Richard Krajicek,26,2399,19,0,0
10,Alex Corretja,24,2302,24,0,0
11,Karol Kucera,24,2115,23,0,0
12,Tim Henman,23,0,0,0,0
13,Andre Agassi,28,2052,17,0,0
14,Albert Costa,23,1978,24,0,0
15,Alberto Berasategui,25,1900,27,0,0
16,Michael Chang,26,1849,19,0,0
17,Goran Ivanisevic,26,1848,25,0,0
18,Thomas Enqvist,24,1791,23,0,0
19,Felix Mantilla,23,1756,24,0,0
20,Cedric Pioline,29,1712,25,0,0
21,Thomas Muster,30,1682,20,0,0
22,Gustavo Kuerten,21,1653,25,0,0
23,Jan Siemerink,28,1574,28,0,0
24,Magnus Gustafsson,31,1463,24,0,0
25,Mark Philippoussis,21,1452,21,0,0
26,Fabrice Santoro,25,1325,26,0,0
27,Wayne Ferreira,26,1308,19,0,0
28,Nicolas Kiefer,21,1280,22,0,0
29,Francisco Clavet,29,1248,29,0,0
30,Todd Martin,28,1175,19,0,0
31,Byron Black,28,1098,23,0,0
32,Nicolas Escude,22,1080,23,0,0
33,Jason Stoltenberg,28,1075,17,0,0
34,Thomas Johansson,23,1062,28,0,0
35,Magnus Larsson,28,1056,20,0,0
36,Andrea Gaudenzi,24,1040,34,0,0
37,Richard Fromberg,28,1034,33,0,0
38,Dominik Hrbaty,20,953,26,0,0
39,Marc Rosset,27,936,28,0,0
40,Tommy Haas,20,929,25,0,0
41,Slava Dosedel,27,916,20,0,0
42,Hicham Arazi,24,893,29,0,0
43,Bohdan Ulihrach,23,891,29,0,0
44,Vincent Spadea,24,874,30,0,0
45,Fernando Meligeni,27,862,27,0,0
46,Scott Draper,24,861,20,0,0
47,Magnus Norman,22,860,28,0,0
48,Julian Alonso,20,829,36,0,0
49,Karim Alami,25,828,30,0,0
50,Sjeng Schalken,21,827,31,0,0
51,Jeff Tarango,29,825,30,0,0
52,Carlos Costa,30,817,28,0,0
53,Mark Woodforde,32,798,25,0,0
54,Davide Sanguinetti,25,797,32,0,0
55,Andrew Ilie,22,794,17,0,0
56,Guillaume Raoux,28,772,27,0,0
57,Todd Woodbridge,27,748,19,0,0
58,Gianluca Pozzi,33,742,36,0,0
59,Filip Dewulf,26,740,28,0,0
60,Martin Damm,25,728,27,0,0
61,Nicolas Lapentti,21,722,31,0,0
62,Franco Squillari,22,719,29,0,0
63,Chris Woodruff,25,715,9,0,0
64,Boris Becker,30,712,11,0,0
65,Jan-Michael Gambill,21,708,27,0,0
66,Jiri Novak,23,697,26,0,0
67,Daniel Vacek,27,694,30,0,0
68,Jerome Golmard,24,689,26,0,0
69,Kenneth Carlsen,25,687,26,0,0
70,Andrei Medvedev,23,678,22,0,0
71,Andrei Pavel,24,658,27,0,0
72,Jim Courier,27,654,18,0,0
73,Mikael Tillstrom,26,648,24,0,0
74,Fernando Vicente,21,645,33,0,0
75,Marat Safin,18,635,18,0,0
76,John van Lottum,22,635,27,0,0
77,Johan Van Herck,24,621,25,0,0
78,Sergi Bruguera,27,619,24,0,0
79,Lucas Arnold Ker,23,608,26,0,0
80,Brett Steven,29,596,23,0,0
81,Dinu Pescariu,24,580,32,0,0
82,David Prinosil,25,577,25,0,0
83,Marc-Kevin Goellner,27,575,32,0,0
84,Steve Campbell,27,573,28,0,0
85,Hendrik Dreekmann,23,557,26,0,0
86,Ramon Delgado,21,555,29,0,0
87,Javier Sanchez,30,551,36,0,0
88,Sargis Sargsian,25,548,28,0,0
89,Alex Calatrava,25,544,31,0,0
90,Guillermo Canas,20,541,26,0,0
91,Adrian Voinea,23,539,20,0,0
92,Wayne Black,24,533,24,0,0
93,Hernan Gumy,26,531,20,0,0
94,Oliver Gross,25,528,27,0,0
95,Mariano Puerta,19,526,27,0,0
96,Arnaud Clement,20,522,28,0,0
97,Sebastien Lareau,25,520,21,0,0
98,Justin Gimelstob,21,512,20,0,0
99,Paul Haarhuis,32,509,17,0,0
100,Sebastien Grosjean,20,508,23,0,0
101,Juan Antonio Marin,23,508,32,0,0
102,Jordi Burillo,25,497,26,0,0
103,Leander Paes,25,489,21,0,0
104,Galo Blanco,21,488,28,0,0
105,Christian Ruud,25,477,27,0,0
