Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Novak Djokovic,27,13845,18,0,0
2,Roger Federer,33,9235,19,0,0
3,Andy Murray,28,7040,22,0,0
4,Tomas Berdych,29,5230,23,0,0
5,Kei Nishikori,25,5220,22,0,0
6,Milos Raonic,24,4800,23,0,0
7,Rafael Nadal,28,4570,20,0,0
8,David Ferrer,33,4490,24,0,0
9,Stan Wawrinka,30,3845,21,0,0
10,Marin Cilic,26,3325,20,0,0
11,Grigor Dimitrov,24,2760,21,0,0
12,Feliciano Lopez,33,2280,25,0,0
13,Gilles Simon,30,2255,25,90,45
14,Gael Monfils,28,2065,20,0,0
15,Jo-Wilfried Tsonga,30,2045,17,0,0
16,Kevin Anderson,28,1970,26,0,0
17,John Isner,30,1935,24,0,0
18,David Goffin,24,1835,27,0,0
19,Tommy Robredo,33,1755,24,0,0
20,Roberto Bautista Agut,27,1750,27,0,0
21,Richard Gasquet,28,1625,22,0,0
22,Pablo Cuevas,29,1502,25,0,0
23,Philipp Kohlschreiber,31,1490,28,250,45
24,Leonardo Mayer,28,1487,26,57,0
25,Ernests Gulbis,26,1480,24,250,0
26,Ivo Karlovic,36,1435,26,150,45
27,Guillermo Garcia-Lopez,31,1335,28,0,0
28,Bernard Tomic,22,1320,28,0,0
29,Fabio Fognini,27,1295,26,0,0
30,Nick Kyrgios,20,1230,16,0,0
31,Adrian Mannarino,26,1223,31,0,0
32,Viktor Troicki,29,1217,27,0,0
33,Fernando Verdasco,31,1180,25,0,0
34,Juan Monaco,31,1170,23,45,20
35,Martin Klizan,25,1170,26,0,0
36,Jack Sock,22,1137,19,32,20
37,Jiri Vesely,21,1125,30,90,18
38,Sam Querrey,27,1115,25,0,0
39,Andreas Seppi,31,1105,27,45,40
40,Lukas Rosol,29,1035,30,0,0
41,Pablo Andujar,29,1025,29,0,0
42,Dominic Thiem,21,995,27,20,10
43,Jeremy Chardy,28,985,29,0,0
44,Julien Benneteau,33,965,19,0,0
45,Benjamin Becker,33,965,28,0,0
