Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,22,0,0,0,0
2,Michael Stich,25,0,0,0,0
3,Stefan Edberg,28,0,0,0,0
4,Sergi Bruguera,23,0,0,0,0
5,Jim Courier,23,0,0,0,0
6,Goran Ivanisevic,22,0,0,0,0
7,Andrei Medvedev,19,0,0,0,0
8,Todd Martin,23,0,0,0,0
9,Michael Chang,22,0,0,0,0
10,Magnus Gustafsson,27,0,0,0,0
11,Thomas Muster,26,0,0,0,0
12,Cedric Pioline,24,0,0,0,0
13,Petr Korda,26,0,0,0,0
14,Boris Becker,26,0,0,0,0
15,Marc Rosset,23,0,0,0,0
16,Arnaud Boetsch,25,0,0,0,0
17,Ivan Lendl,34,0,0,0,0
18,Andre Agassi,23,0,0,0,0
19,Carlos Costa,25,0,0,0,0
20,Wayne Ferreira,22,0,0,0,0
21,Alexander Volkov,27,0,0,0,0
22,Paul Haarhuis,28,0,0,0,0
23,Wally Masur,30,0,0,0,0
24,Richard Krajicek,22,0,0,0,0
25,Jaime Yzaga,26,0,0,0,0
26,Marc-Kevin Goellner,23,0,0,0,0
27,Brad Gilbert,32,0,0,0,0
28,Andrei Chesnokov,28,0,0,0,0
29,Javier Sanchez,26,0,0,0,0
30,Patrick Rafter,21,0,0,0,0
31,Aaron Krickstein,26,0,0,0,0
32,MaliVai Washington,24,0,0,0,0
33,Mikael Pernfors,30,0,0,0,0
34,Yevgeny Kafelnikov,20,0,0,0,0
35,Karel Novacek,29,0,0,0,0
36,Richey Reneberg,28,0,0,0,0
37,Alberto Berasategui,20,0,0,0,0
38,Jonathan Stark,23,0,0,0,0
39,Renzo Furlan,23,0,0,0,0
40,Andrei Cherkasov,23,0,0,0,0
41,Ronald Agenor,29,0,0,0,0
42,Jonas Svensson,27,0,0,0,0
43,Henrik Holm,25,0,0,0,0
44,Magnus Larsson,24,0,0,0,0
45,Karsten Braasch,26,0,0,0,0
46,Amos Mansdorf,28,0,0,0,0
47,Jason Stoltenberg,24,0,0,0,0
48,Patrick McEnroe,27,0,0,0,0
49,Emilio Sanchez,28,0,0,0,0
50,Henri Leconte,30,0,0,0,0
51,Younes El Aynaoui,22,0,0,0,0
52,Richard Fromberg,23,0,0,0,0
53,Daniel Vacek,23,0,0,0,0
54,Jordi Burillo,21,0,0,0,0
55,Luiz Mattar,30,0,0,0,0
56,Thomas Enqvist,20,0,0,0,0
57,David Rikl,23,0,0,0,0
58,Stefano Pescosolido,22,0,0,0,0
59,Greg Rusedski,20,0,0,0,0
60,Andrea Gaudenzi,20,0,0,0,0
61,Gilbert Schaller,25,0,0,0,0
62,Alex Corretja,19,0,0,0,0
63,Jacco Eltingh,23,0,0,0,0
64,Jordi Arrese,29,0,0,0,0
65,Slava Dosedel,23,0,0,0,0
66,Franco Davin,24,0,0,0,0
67,Jakob Hlasek,29,0,0,0,0
68,Brett Steven,24,0,0,0,0
69,Jamie Morgan,22,0,0,0,0
70,Alex Antonitsch,28,0,0,0,0
71,Byron Black,24,0,0,0,0
72,David Wheaton,24,0,0,0,0
73,Martin Damm,21,0,0,0,0
74,Mark Woodforde,28,0,0,0,0
75,Rodolphe Gilbert,25,0,0,0,0
76,Chuck Adams,22,0,0,0,0
77,Bernd Karbacher,26,0,0,0,0
78,Nicklas Kulti,22,0,0,0,0
79,Tomas Carbonell,25,0,0,0,0
80,Horacio De La Pena,27,0,0,0,0
81,Olivier Delaitre,26,0,0,0,0
82,Grant Stafford,22,0,0,0,0
83,Bryan Shelton,28,0,0,0,0
84,Jan Siemerink,23,0,0,0,0
85,Javier Frana,27,0,0,0,0
86,Jean-Philippe Fleurian,28,0,0,0,0
87,Marcelo Filippini,26,0,0,0,0
88,Hendrik Dreekmann,19,0,0,0,0
89,Jonas Bjorkman,22,0,0,0,0
90,Steve Bryan,23,0,0,0,0
91,Guillaume Raoux,24,0,0,0,0
92,Todd Woodbridge,23,0,0,0,0
93,Andrei Olhovskiy,27,0,0,0,0
94,Carl-Uwe Steeb,26,0,0,0,0
95,Fernando Meligeni,22,0,0,0,0
96,Jared Palmer,22,0,0,0,0
97,Francisco Clavet,25,0,0,0,0
98,Maurice Ruah,23,0,0,0,0
99,Markus Zoecke,25,0,0,0,0
100,Alex O'Brien,24,0,0,0,0
101,Karol Kucera,20,0,0,0,0
102,Guillermo Perez-Roldan,24,0,0,0,0
103,Christian Bergstrom,26,0,0,0,0
104,Stephane Simian,26,0,0,0,0
105,Jeff Tarango,25,0,0,0,0
106,Mark Petchey,23,0,0,0,0
107,Lars Jonsson,23,0,0,0,0
108,Kenneth Carlsen,20,0,0,0,0
109,Robbie Weiss,27,0,0,0,0
110,Marcos Ondruska,21,0,0,0,0
111,Fabrice Santoro,21,0,0,0,0
112,Mauricio Hadad,22,0,0,0,0
113,Xavier Daufresne,25,0,0,0,0
114,Horst Skoff,25,0,0,0,0
115,Karim Alami,20,0,0,0,0
116,Shuzo Matsuoka,26,0,0,0,0
117,Joern Renzenbrink,21,0,0,0,0
118,Gabriel Markus,24,0,0,0,0
119,Nicolas Pereira,23,0,0,0,0
120,David Prinosil,21,0,0,0,0
121,Doug Flach,23,0,0,0,0
122,Lionel Roux,20,0,0,0,0
123,Dimitri Poliakov,26,0,0,0,0
124,Albert Costa,18,0,0,0,0
125,Neil Borwick,26,0,0,0,0
126,Diego Nargiso,24,0,0,0,0
127,Jeremy Bates,31,0,0,0,0
128,Alexander Mronz,28,0,0,0,0
129,Gerard Solves,25,0,0,0,0
130,Tomas Nydahl,26,0,0,0,0
131,Patrik Kuhnen,28,0,0,0,0
132,Jose Francisco Altur,26,0,0,0,0
133,Daniel Orsanic,25,0,0,0,0
134,Jan Apell,24,0,0,0,0
135,Cristiano Caratti,23,0,0,0,0
136,Gianluca Pozzi,28,0,0,0,0
137,Jim Grabb,29,0,0,0,0
138,Sebastien Lareau,20,0,0,0,0
139,Milen Velev,22,0,0,0,0
140,Luis Herrera,22,0,0,0,0
141,Christo Van Rensburg,31,0,0,0,0
142,Jaime Oncins,23,0,0,0,0
143,Federico Sanchez,23,0,0,0,0
144,Anders Jarryd,32,0,0,0,0
145,Sergio Cortes,26,0,0,0,0
146,Dirk Dier,22,0,0,0,0
147,Goran Prpic,29,0,0,0,0
148,Richard Matuszewski,29,0,0,0,0
149,Chris Wilkinson,24,0,0,0,0
150,Brent Larkham,22,0,0,0,0
151,Patricio Arnold,22,0,0,0,0
152,Christian Ruud,21,0,0,0,0
153,Gilad Bloom,27,0,0,0,0
154,Claudio Mezzadri,28,0,0,0,0
155,Mark Knowles,22,0,0,0,0
156,Fernon Wibier,23,0,0,0,0
157,Derrick Rostagno,28,0,0,0,0
158,Filip Dewulf,22,0,0,0,0
159,David Nainkin,23,0,0,0,0
160,Simon Youl,28,0,0,0,0
161,Roberto Jabali,23,0,0,0,0
162,Tommy Ho,20,0,0,0,0
163,Daniele Musa,21,0,0,0,0
164,Claudio Pistolesi,26,0,0,0,0
165,Emilio Benfele Alvarez,21,0,0,0,0
166,Joao Cunha-Silva,26,0,0,0,0
167,Massimo Valeri,22,0,0,0,0
168,Kevin Ullyett,21,0,0,0,0
169,Jimmy Arias,29,0,0,0,0
170,Albert Chang,23,0,0,0,0
171,David Engel,26,0,0,0,0
172,Mario Visconti,25,0,0,0,0
173,Bart Wuyts,24,0,0,0,0
174,Oliver Gross,20,0,0,0,0
175,Markus Naewie,24,0,0,0,0
176,Jonathan Canter,28,0,0,0,0
177,Eyal Ran,21,0,0,0,0
178,Chris Bailey,25,0,0,0,0
179,Daniel Nestor,21,0,0,0,0
180,Christian Miniussi,26,0,0,0,0
181,Oliver Fernandez,21,0,0,0,0
182,Sandon Stolle,23,0,0,0,0
183,Juan Gisbert Jr,19,0,0,0,0
184,Lars Rehmann,18,0,0,0,0
185,Danilo Marcelino,28,0,0,0,0
186,Davide Sanguinetti,21,0,0,0,0
187,Gaston Etlis,19,0,0,0,0
188,Paolo Cane,28,0,0,0,0
189,Martin Blackman,24,0,0,0,0
190,David Witt,20,0,0,0,0
191,Lionel Barthez,26,0,0,0,0
192,Paul Kilderry,20,0,0,0,0
193,Michael Geserer,24,0,0,0,0
194,Michael Joyce,21,0,0,0,0
195,Jozsef Krocsko,25,0,0,0,0
196,Paul Wekesa,26,0,0,0,0
197,Laurence Tieleman,21,0,0,0,0
198,Thierry Guardiola,22,0,0,0,0
199,Nuno Marques,23,0,0,0,0
200,Peter Tramacchi,23,0,0,0,0
201,Johan Van Herck,19,0,0,0,0
202,Jose-Luis Noriega,24,0,0,0,0
203,Thomas Gollwitzer,27,0,0,0,0
204,Andrei Merinov,22,0,0,0,0
205,Marcos Aurelio Gorriz,30,0,0,0,0
206,David Adams,24,0,0,0,0
207,Roger Smith,30,0,0,0,0
208,Libor Nemecek,25,0,0,0,0
209,Kenny Thorne,28,0,0,0,0
210,Alejo Mancisidor,23,0,0,0,0
211,Mario Rincon,26,0,0,0,0
212,Mats Wilander,29,0,0,0,0
213,Louis Gloria,24,0,0,0,0
214,Alberto Mancini,24,0,0,0,0
215,Michael Tebbutt,23,0,0,0,0
216,Arne Thoms,23,0,0,0,0
217,Sandor Noszaly,22,0,0,0,0
218,Hernan Gumy,22,0,0,0,0
219,Thierry Champion,27,0,0,0,0
220,Christer Allgardh,27,0,0,0,0
221,Tim Henman,19,0,0,0,0
222,Mark Kaplan,26,0,0,0,0
223,Andrew Foster,22,0,0,0,0
224,Martin Stringari,22,0,0,0,0
225,Frederic Fontang,24,0,0,0,0
226,Todd Nelson,33,0,0,0,0
227,Miguel Pastura,20,0,0,0,0
228,Joshua Eagle,20,0,0,0,0
229,Oscar Martinez,20,0,0,0,0
230,Alex Radulescu,19,0,0,0,0
231,Patrick Baur,28,0,0,0,0
232,Chris Pridham,28,0,0,0,0
233,Darren Cahill,28,0,0,0,0
234,Francisco Roig,26,0,0,0,0
235,Brian MacPhie,21,0,0,0,0
