Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Roger Federer,26,7180,16,0,0
2,Rafael Nadal,21,5780,19,0,0
3,Novak Djokovic,20,4315,19,0,0
4,Nikolay Davydenko,26,2825,25,0,0
5,David Ferrer,25,2615,23,0,0
6,Andy Roddick,25,2530,20,0,0
7,Fernando Gonzalez,27,2005,19,0,0
8,Richard Gasquet,21,1895,22,0,0
9,Andy Murray,20,1830,19,0,0
10,David Nalbandian,26,1775,15,0,0
11,Tommy Haas,29,1720,20,0,0
12,Tommy Robredo,25,1705,22,0,0
13,Tomas Berdych,22,1685,21,0,0
14,Mikhail Youzhny,25,1670,23,0,0
15,James Blake,28,1610,23,0,0
16,Marcos Baghdatis,22,1600,19,0,0
17,Guillermo Canas,30,1598,20,0,0
18,Carlos Moya,31,1505,21,0,0
19,Ivan Ljubicic,28,1440,22,0,0
20,Juan Ignacio Chela,28,1425,21,0,0
21,Juan Carlos Ferrero,27,1400,21,0,0
22,Lleyton Hewitt,26,1385,20,0,0
23,Juan Monaco,23,1380,22,0,0
24,Ivo Karlovic,28,1360,24,0,0
25,Paul-Henri Mathieu,26,1320,21,0,0
26,Jarkko Nieminen,26,1075,22,0,0
27,Philipp Kohlschreiber,24,1075,22,0,0
28,Fernando Verdasco,24,1050,23,0,0
29,Stan Wawrinka,22,995,18,0,0
30,Radek Stepanek,29,985,21,0,0
31,Nicolas Almagro,22,965,22,0,0
32,Dmitry Tursunov,25,965,26,0,0
33,Gilles Simon,23,955,22,0,0
34,Potito Starace,26,921,21,0,0
35,Igor Andreev,24,890,21,0,0
36,Fabrice Santoro,35,852,21,0,0
37,Feliciano Lopez,26,840,17,0,0
38,Jo-Wilfried Tsonga,22,789,16,0,0
39,Filippo Volandri,26,731,21,0,0
40,Gael Monfils,21,717,16,0,0
41,Agustin Calleri,31,700,21,0,0
42,Nicolas Kiefer,30,685,15,0,0
43,Mardy Fish,26,685,21,0,0
44,Nicolas Mahut,25,683,19,0,0
45,Albert Montanes,27,681,21,0,0
46,Sebastien Grosjean,29,661,17,0,0
47,Hyung-Taik Lee,32,659,19,0,0
48,Andreas Seppi,23,659,24,0,0
49,Janko Tipsarevic,23,657,15,0,0
50,Michael Llodra,27,654,19,0,0
51,Thomas Johansson,32,635,18,0,0
52,Florian Mayer,24,626,20,0,0
53,Juan Martin del Potro,19,625,19,0,0
54,Michael Berrer,27,621,23,0,0
55,Robin Soderling,23,620,19,0,0
56,Olivier Rochus,26,616,18,0,0
57,Marin Cilic,19,615,19,0,0
58,Marat Safin,27,610,19,0,0
59,Arnaud Clement,30,610,18,0,0
60,Oscar Hernandez,29,602,17,0,0
61,Ernests Gulbis,19,595,14,0,0
62,Sam Querrey,20,588,18,0,0
63,Jose Acasuso,25,581,17,0,0
64,Werner Eschauer,33,580,15,0,0
65,Julien Benneteau,26,575,22,0,0
66,Dudi Sela,22,573,18,0,0
67,Jonas Bjorkman,35,570,15,0,0
68,Stefan Koubek,31,556,20,0,0
69,Nicolas Massu,28,544,19,0,0
70,Simone Bolelli,22,541,18,0,0
71,Jurgen Melzer,26,540,21,0,0
72,Sergio Roitman,28,537,22,0,0
73,Marc Gicquel,30,535,23,0,0
74,Frank Dancevic,23,531,16,0,0
75,Carlos Berlocq,24,525,20,0,0
76,Luis Horna,27,520,18,0,0
77,Martin Vassallo Arguello,27,520,20,0,0
78,Andrei Pavel,33,518,17,0,0
79,Victor Hanescu,26,517,19,0,0
80,Vincent Spadea,33,515,20,0,0
81,Benjamin Becker,26,496,23,0,0
82,Evgeny Korolev,19,492,20,0,0
83,Steve Darcis,23,492,21,0,0
84,Alejandro Falla,24,481,21,0,0
85,Mischa Zverev,20,478,19,0,0
86,Guillermo Garcia-Lopez,24,477,15,0,0
87,Santiago Ventura,28,473,22,0,0
88,Florent Serra,26,466,16,0,0
89,Mario Ancic,23,465,16,0,0
90,Peter Luczak,28,464,18,0,0
91,Chris Guccione,22,462,19,0,0
92,Rainer Schuettler,31,453,18,0,0
93,Edouard Roger-Vasselin,24,450,20,0,0
94,Fabio Fognini,20,444,26,0,0
95,Boris Pashanski,25,441,25,0,0
96,Thierry Ascione,26,438,22,0,0
97,Juan Pablo Brzezicki,25,437,22,0,0
98,Donald Young,18,432,19,0,0
99,Jiri Vanek,29,431,18,0,0
100,Paul Capdeville,24,428,21,0,0
101,Michael Russell,29,426,18,0,0
102,Ivo Minar,23,425,16,0,0
103,Robin Haase,20,424,19,0,0
104,Mariano Zabaleta,29,416,11,0,0
105,Kristof Vliegen,25,412,18,0,0
106,Marcos Daniel,29,411,21,0,0
107,Diego Hartfield,26,410,16,0,0
108,Robert Kendrick,28,408,22,0,0
109,John Isner,22,407,11,0,0
110,Olivier Patience,27,405,18,0,0
111,Nicolas Lapentti,31,401,16,0,0
112,Yen-Hsun Lu,24,393,16,0,0
113,Bobby Reynolds,25,392,21,0,0
114,Pablo Cuevas,22,389,18,0,0
115,Nicolas Devilder,27,388,22,0,0
116,Gilles Muller,24,380,16,0,0
117,Flavio Cipolla,24,372,20,0,0
118,Rik De Voest,27,366,19,0,0
119,Denis Gremelmayr,26,366,19,0,0
120,Maximo Gonzalez,24,366,22,0,0
121,Yuri Schukin,28,363,16,0,0
122,Mathieu Montcourt,22,361,15,0,0
123,Ivan Navarro,26,360,17,0,0
124,Wayne Odesnik,22,359,19,0,0
125,Teymuraz Gabashvili,22,357,18,0,0
126,Viktor Troicki,21,357,18,0,0
127,Igor Kunitsyn,26,351,24,0,0
128,Kristian Pless,26,344,21,0,0
129,Alessio Di Mauro,30,338,15,0,0
130,Aisam-Ul-Haq Qureshi,27,336,21,0,0
131,Marcel Granollers,21,334,21,0,0
132,Ruben Ramirez Hidalgo,30,323,21,0,0
133,Roko Karanusic,25,323,20,0,0
134,Tomas Zib,31,316,18,0,0
135,Robby Ginepri,25,315,14,0,0
136,Amer Delic,25,314,15,0,0
137,Alun Jones,27,313,15,0,0
138,Dominik Hrbaty,30,308,16,0,0
139,Santiago Giraldo,20,308,12,0,0
140,Fred Gil,22,305,19,0,0
141,Alberto Martin,29,303,19,0,0
142,Konstantinos Economidis,30,299,13,0,0
143,Federico Luzzi,28,298,23,0,0
144,Pablo Andujar,21,296,20,0,0
145,Zack Fleishman,27,294,15,0,0
146,Joseph Sirianni,32,293,18,0,0
147,Jimmy Wang,22,289,10,0,0
148,Oliver Marach,27,288,13,0,0
149,Robert Smeets,22,286,22,0,0
150,Lukas Lacko,20,285,16,0,0
151,Juan-Pablo Guzman,26,282,19,0,0
152,Dusan Vemic,31,280,20,0,0
153,Danai Udomchoke,26,275,18,0,0
154,Lukas Dlouhy,24,275,15,0,0
155,Brian Dabul,23,272,17,0,0
156,Xavier Malisse,27,270,16,0,0
157,Dick Norman,36,270,8,0,0
158,Eric Prodon,26,267,17,0,0
159,Bruno Echagaray,24,263,18,0,0
160,Harel Levy,29,262,20,0,0
161,Peter Wessels,29,261,11,0,0
162,Bohdan Ulihrach,32,258,10,0,0
163,Daniel Koellerer,24,258,17,0,0
164,Wesley Moodie,28,256,14,0,0
165,Fernando Vicente,30,253,15,0,0
166,Raemon Sluiter,29,253,14,0,0
167,Daniel Gimeno-Traver,22,253,19,0,0
168,Jan Hernych,28,252,16,0,0
169,Frederic Niemeyer,31,247,14,0,0
170,Jesse Levine,20,242,9,0,0
171,Eduardo Schwank,21,242,13,0,0
172,Sam Warburg,24,241,15,0,0
173,Andrey Golubev,20,241,20,0,0
174,Alexander Peya,27,235,15,0,0
175,Leonardo Mayer,20,235,14,0,0
176,Gaston Gaudio,29,233,12,0,0
177,Stefano Galvani,30,232,16,0,0
178,Philipp Petzschner,23,231,12,0,0
179,Alex Kuznetsov,20,231,15,0,0
180,Alex Bogdanovic,23,231,16,0,0
181,Younes El Aynaoui,36,229,9,0,0
182,Stephane Bohli,24,229,14,0,0
183,Thomaz Bellucci,20,229,21,0,0
184,Christophe Rochus,29,228,16,0,0
185,Flavio Saretta,27,227,8,0,0
186,Alex Bogomolov Jr.,24,225,17,0,0
187,Adrian Garcia,29,223,11,0,0
188,Mikhail Ledovskikh,21,223,12,0,0
189,Kevin Kim,29,222,13,0,0
190,Matthias Bachinger,20,222,18,0,0
191,Max Mirnyi,30,220,9,0,0
192,Jeremy Chardy,20,219,16,0,0
193,Julio Silva,28,219,19,0,0
194,Bjorn Phau,28,218,14,0,0
195,Paul Goldstein,31,215,13,0,0
196,Dominik Meffert,26,215,14,0,0
197,Antony Dupuis,34,215,10,0,0
198,Daniel Munoz de la Nava,25,215,18,0,0
199,Sergiy Stakhovsky,22,214,17,0,0
200,David Guez,25,214,20,0,0
201,Jesse Huta Galung,22,213,18,0,0
202,Simon Stadler,24,211,18,0,0
203,Ilija Bozoljac,22,210,13,0,0
204,Jan Minar,26,207,18,0,0
205,Adrian Cruciat,24,206,19,0,0
206,Marc Lopez,25,202,14,0,0
207,Andreas Beck,21,202,17,0,0
208,Kevin Anderson,21,201,11,0,0
209,Benedikt Dorsch,27,201,15,0,0
210,Jan Mertl,26,200,14,0,0
211,Tobias Kamke,21,200,17,0,0
212,Go Soeda,23,199,14,0,0
213,Mikhail Elgin,26,198,19,0,0
214,Laurent Recouderc,23,197,16,0,0
215,Michael Lammer,25,196,16,0,0
216,Denis Istomin,21,193,11,0,0
217,Jamie Baker,21,192,15,0,0
218,Simon Greul,26,189,10,0,0
219,Gary Lugassy,25,189,14,0,0
220,Mikhail Kukushkin,20,189,17,0,0
221,Daniel Brands,20,186,18,0,0
222,Lukasz Kubot,25,185,14,0,0
223,Gabriel Trujillo-Soler,28,185,23,0,0
224,Jesse Witten,25,183,16,0,0
225,Cristian Villagran,25,183,16,0,0
226,Hugo Armando,29,182,14,0,0
227,Ivo Klec,27,182,18,0,0
228,Franco Ferreiro,23,180,11,0,0
229,Kyu Tae Im,27,180,21,0,0
230,Alexander Kudryavtsev,22,179,17,0,0
231,Diego Junqueira,27,178,16,0,0
232,Brendan Evans,21,176,14,0,0
233,Rajeev Ram,23,176,19,0,0
234,Ramon Delgado,31,175,10,0,0
235,Adrian Menendez-Maceiras,22,174,13,0,0
236,Alexandr Dolgopolov,19,174,14,0,0
237,Filip Prpic,25,172,13,0,0
238,Thiago Alves,25,171,10,0,0
239,Jan Vacek,31,171,11,0,0
240,Michael Ryderstedt,23,170,18,0,0
241,Catalin-Ionut Gard,26,170,24,0,0
242,Matwe Middelkoop,24,168,20,0,0
243,Jerome Haehnel,27,167,15,0,0
244,Takao Suzuki,31,167,7,0,0
245,Alexander Waske,32,166,9,0,0
246,Ryan Sweeting,20,166,15,0,0
247,Wayne Arthurs,36,165,2,0,0
248,Jan Hajek,24,164,11,0,0
249,Pavel Snobel,27,163,13,0,0
250,Andreas Haider-Maurer,20,163,20,0,0
251,Francesco Aldi,26,162,12,0,0
252,Andis Juska,22,161,13,0,0
253,Predrag Rusevski,24,161,16,0,0
254,Nick Lindahl,19,161,21,0,0
255,Farrukh Dustov,21,160,11,0,0
256,Ricardo Mello,27,157,11,0,0
257,Vasilis Mazarakis,27,157,18,0,0
258,Augustin Gensse,24,155,19,0,0
259,Michael Quintero,27,152,14,0,0
260,Michal Przysiezny,23,151,11,0,0
261,Mariano Puerta,29,150,10,0,0
262,Horacio Zeballos,22,150,13,0,0
263,Thomas Oger,27,150,14,0,0
264,Martin Fischer,21,150,20,0,0
265,Marc Fornell-Mestres,25,148,17,0,0
266,Scoville Jenkins,21,147,18,0,0
267,Adrian Ungur,22,144,12,0,0
268,Juan-Martin Aranguren,24,143,26,0,0
269,Lukas Rosol,22,141,17,0,0
270,Pere Riba,19,141,24,0,0
271,Tomas Cakl,26,140,12,0,0
272,Sebastian Decoud,26,140,16,0,0
273,Simone Vagnozzi,24,140,16,0,0
274,Josselin Ouanna,21,140,18,0,0
275,Daniele Bracciali,30,139,9,0,0
276,Ivan Sergeyev,19,139,19,0,0
277,Martin Slanar,26,138,19,0,0
278,Prakash Amritraj,24,137,9,0,0
279,Fritz Wolmarans,21,137,16,0,0
280,Marko Tkalec,30,137,23,0,0
281,Miguel Angel Lopez Jaen,25,136,25,0,0
282,Victor Crivoi,25,135,9,0,0
283,Paolo Lorenzi,26,135,16,0,0
284,Francesco Piccari,28,135,23,0,0
285,Todd Widom,24,134,12,0,0
286,Bjorn Rehnquist,30,134,14,0,0
287,Noam Okun,29,133,7,0,0
288,Kei Nishikori,18,133,9,0,0
289,Nathan Healey,27,133,10,0,0
290,Alberto Brizzi,23,133,22,0,0
291,Brian Wilson,25,132,15,0,0
292,Rohan Bopanna,27,131,10,0,0
293,Tim Henman,33,130,10,0,0
294,Pavel Chekhov,19,130,20,0,0
295,Michal Mertinak,28,127,12,0,0
296,Ivan Miranda,27,127,14,0,0
297,Izak Van der Merwe,23,127,15,0,0
298,Ti Chen,24,127,20,0,0
299,Caio Zampieri,21,126,14,0,0
300,Gouichi Motomura,34,126,14,0,0
301,Ivan Dodig,23,125,16,0,0
302,Gustavo Marcaccio,30,123,12,0,0
303,Richard Bloomfield,24,123,14,0,0
304,Carlos Salamanca,24,121,7,0,0
305,Dawid Olejniczak,24,121,14,0,0
306,Julian Reister,21,120,14,0,0
307,Rameez Junaid,26,118,15,0,0
308,Colin Ebelthite,23,118,18,0,0
309,Jean-Rene Lisnard,28,117,9,0,0
310,Phillip King,26,117,14,0,0
311,Manuel Jorquera,29,116,15,0,0
312,Joao Souza,19,116,16,0,0
313,Juan-Pablo Villar,25,116,17,0,0
314,Adam Feeney,22,116,17,0,0
