Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,26,3998,16,0,0
2,Michael Chang,25,3211,22,0,0
3,Patrick Rafter,24,3017,23,0,0
4,Goran Ivanisevic,26,2568,26,0,0
5,Greg Rusedski,24,2513,21,0,0
6,Yevgeny Kafelnikov,23,2480,27,0,0
7,Carlos Moya,21,2451,28,0,0
8,Petr Korda,29,2369,24,0,0
9,Sergi Bruguera,26,2367,24,0,0
10,Jonas Bjorkman,25,2343,24,0,0
11,Richard Krajicek,25,2316,23,0,0
12,Thomas Muster,30,2311,23,0,0
13,Marcelo Rios,21,2302,26,0,0
14,Gustavo Kuerten,21,2261,26,0,0
15,Alex Corretja,23,2251,26,0,0
16,Felix Mantilla,23,2135,27,0,0
17,Thomas Enqvist,23,1923,23,0,0
18,Tim Henman,23,1858,25,0,0
19,Mark Philippoussis,20,1809,22,0,0
20,Albert Costa,22,1778,24,0,0
21,Jim Courier,27,1566,23,0,0
22,Magnus Norman,21,1522,27,0,0
23,Cedric Pioline,28,1505,25,0,0
24,Alberto Berasategui,24,1499,31,0,0
25,Karol Kucera,23,1379,31,0,0
26,Marc Rosset,26,1378,32,0,0
27,Magnus Larsson,27,1357,21,0,0
28,Andrei Medvedev,23,1314,24,0,0
29,Fabrice Santoro,24,1289,29,0,0
30,Todd Woodbridge,26,1258,20,0,0
31,Chris Woodruff,24,1234,22,0,0
32,Nicolas Kiefer,20,1198,19,0,0
33,Magnus Gustafsson,30,1125,18,0,0
34,Albert Portas,23,1082,26,0,0
35,Francisco Clavet,29,1066,28,0,0
36,Bohdan Ulihrach,22,1064,29,0,0
37,Thomas Johansson,22,1035,28,0,0
38,Boris Becker,29,975,12,0,0
39,Hicham Arazi,24,971,32,0,0
40,Filip Dewulf,25,967,25,0,0
41,Wayne Ferreira,26,961,24,0,0
42,Dominik Hrbaty,19,949,31,0,0
43,Tommy Haas,19,933,20,0,0
44,Slava Dosedel,27,899,20,0,0
45,Julian Alonso,20,873,22,0,0
46,Mark Woodforde,32,866,25,0,0
47,Marcelo Filippini,30,862,28,0,0
48,Jeff Tarango,28,843,31,0,0
49,Paul Haarhuis,31,838,26,0,0
50,Galo Blanco,21,832,31,0,0
51,Brett Steven,28,817,20,0,0
52,Todd Martin,27,801,9,0,0
53,Sjeng Schalken,21,784,27,0,0
54,Marc-Kevin Goellner,27,781,32,0,0
55,Javier Sanchez,29,770,37,0,0
56,Jiri Novak,22,754,22,0,0
57,Richey Reneberg,32,753,21,0,0
58,Scott Draper,23,750,26,0,0
59,Karim Alami,24,748,31,0,0
60,Martin Damm,25,740,26,0,0
61,Carlos Costa,29,725,29,0,0
62,Byron Black,28,724,27,0,0
63,Guillaume Raoux,27,721,27,0,0
64,Michael Stich,29,712,14,0,0
65,Hernan Gumy,25,710,28,0,0
66,Alex Radulescu,22,710,31,0,0
67,Christian Ruud,25,708,26,0,0
68,Johan Van Herck,23,705,25,0,0
69,Andrea Gaudenzi,24,695,31,0,0
70,Daniel Vacek,26,690,30,0,0
71,Lionel Roux,24,681,28,0,0
72,Sargis Sargsian,24,675,30,0,0
73,Richard Fromberg,27,675,33,0,0
74,Fernando Meligeni,26,672,26,0,0
75,David Prinosil,24,665,26,0,0
76,Mikael Tillstrom,25,664,23,0,0
77,Arnaud Boetsch,28,653,25,0,0
78,Juan Albert Viloca-Puig,24,649,32,0,0
79,Jason Stoltenberg,27,645,19,0,0
80,Kenneth Carlsen,24,632,29,0,0
81,Grant Stafford,26,628,23,0,0
82,Sandon Stolle,27,627,22,0,0
83,Nicolas Lapentti,21,612,30,0,0
84,Justin Gimelstob,20,579,29,0,0
85,Dinu Pescariu,23,577,28,0,0
86,Tomas Nydahl,29,575,25,0,0
87,Jonathan Stark,26,560,24,0,0
88,Alex O'Brien,27,556,29,0,0
89,Juan Antonio Marin,22,537,26,0,0
90,Jan Kroslak,23,536,22,0,0
91,Vincent Spadea,23,528,30,0,0
92,Gilbert Schaller,28,510,30,0,0
93,Davide Sanguinetti,25,488,26,0,0
94,Renzo Furlan,27,486,30,0,0
95,Emilio Benfele Alvarez,24,479,31,0,0
96,Jens Knippschild,22,457,19,0,0
97,Andrei Pavel,23,456,26,0,0
98,Arnaud Clement,19,455,23,0,0
99,Marcos Ondruska,24,449,24,0,0
100,Alex Calatrava,24,443,19,0,0
101,Oliver Gross,24,443,23,0,0
102,Radomir Vasek,25,436,18,0,0
103,Marcello Craca,23,435,21,0,0
104,Alberto Martin,19,433,22,0,0
105,Leander Paes,24,427,26,0,0
106,Lucas Arnold Ker,23,418,27,0,0
107,Hendrik Dreekmann,22,417,22,0,0
108,Jan Siemerink,27,412,27,0,0
109,Ramon Delgado,20,405,20,0,0
110,Jacobo Diaz,21,404,24,0,0
111,Guillermo Canas,19,403,22,0,0
112,Gianluca Pozzi,32,389,21,0,0
113,Fernando Vicente,20,379,27,0,0
114,Jerome Golmard,24,377,27,0,0
115,Jordi Burillo,24,376,26,0,0
116,Vincenzo Santopadre,26,373,24,0,0
