Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,27,4015,18,0,0
2,Patrick Rafter,25,3575,26,0,0
3,Marcelo Rios,22,3467,22,0,0
4,Carlos Moya,22,2962,25,0,0
5,Petr Korda,30,2815,20,0,0
6,Karol Kucera,24,2709,24,0,0
7,Alex Corretja,24,2572,22,0,0
8,Andre Agassi,28,2545,19,0,0
9,Richard Krajicek,26,2534,19,0,0
10,Yevgeny Kafelnikov,24,2508,30,0,0
11,Tim Henman,24,2285,29,0,0
12,Goran Ivanisevic,27,2203,25,0,0
13,Jonas Bjorkman,26,2101,24,0,0
14,Greg Rusedski,25,1925,23,0,0
15,Jan Siemerink,28,1837,27,0,0
16,Albert Costa,23,1823,23,0,0
17,Cedric Pioline,29,1766,25,0,0
18,Mark Philippoussis,21,1723,19,0,0
19,Thomas Enqvist,24,1654,18,0,0
20,Alberto Berasategui,25,1636,27,0,0
21,Felix Mantilla,24,1633,27,0,0
22,Thomas Johansson,23,1521,29,0,0
23,Thomas Muster,31,1520,23,0,0
24,Gustavo Kuerten,22,1518,27,0,0
25,Francisco Clavet,29,1289,27,0,0
26,Magnus Gustafsson,31,1288,23,0,0
27,Todd Martin,28,1268,21,0,0
28,Nicolas Kiefer,21,1236,24,0,0
29,Byron Black,28,1231,23,0,0
30,Fabrice Santoro,25,1230,25,0,0
31,Magnus Larsson,28,1213,20,0,0
32,Bohdan Ulihrach,23,1146,29,0,0
33,Michael Chang,26,1131,18,0,0
34,Nicolas Escude,22,1118,23,0,0
35,Wayne Ferreira,27,1082,19,0,0
36,Jason Stoltenberg,28,1068,18,0,0
37,Tommy Haas,20,1021,24,0,0
38,Magnus Norman,22,1012,29,0,0
39,Andrea Gaudenzi,25,958,31,0,0
40,Hicham Arazi,24,951,27,0,0
41,Richard Fromberg,28,937,33,0,0
42,Vincent Spadea,24,935,27,0,0
43,Dominik Hrbaty,20,892,27,0,0
44,Daniel Vacek,27,892,31,0,0
45,Guillaume Raoux,28,859,27,0,0
46,Davide Sanguinetti,26,859,32,0,0
47,Scott Draper,24,819,19,0,0
48,Jan-Michael Gambill,21,817,25,0,0
49,Marc Rosset,27,817,27,0,0
50,Fernando Meligeni,27,811,27,0,0
51,Carlos Costa,30,811,28,0,0
52,Andrew Ilie,22,808,25,0,0
53,Filip Dewulf,26,789,27,0,0
54,Franco Squillari,23,788,30,0,0
55,Marat Safin,18,785,22,0,0
56,Jerome Golmard,25,768,26,0,0
57,Karim Alami,25,737,24,0,0
58,Mariano Puerta,20,727,28,0,0
59,Slava Dosedel,28,723,22,0,0
60,Boris Becker,30,712,11,0,0
61,Gianluca Pozzi,33,702,36,0,0
62,Fernando Vicente,21,698,32,0,0
63,Julian Alonso,21,690,35,0,0
64,Mikael Tillstrom,26,684,21,0,0
65,Paul Haarhuis,32,682,17,0,0
66,Younes El Aynaoui,27,679,14,0,0
67,Adrian Voinea,24,676,20,0,0
68,Andrei Medvedev,24,667,22,0,0
69,Ramon Delgado,21,661,29,0,0
70,Martin Damm,26,660,27,0,0
71,Todd Woodbridge,27,657,18,0,0
72,Oliver Gross,25,655,26,0,0
73,David Prinosil,25,644,25,0,0
74,Andrei Pavel,24,635,30,0,0
75,Nicolas Lapentti,22,633,30,0,0
