Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Boris Becker,23,0,0,0,0
2,Stefan Edberg,25,0,0,0,0
3,Michael Stich,22,0,0,0,0
4,Ivan Lendl,31,0,0,0,0
5,Jim Courier,20,0,0,0,0
6,Andre Agassi,21,0,0,0,0
7,Guy Forget,26,0,0,0,0
8,Pete Sampras,20,0,0,0,0
9,Sergi Bruguera,20,0,0,0,0
10,Magnus Gustafsson,24,0,0,0,0
11,Karel Novacek,26,0,0,0,0
12,David Wheaton,22,0,0,0,0
13,Emilio Sanchez,26,0,0,0,0
14,Andrei Cherkasov,21,0,0,0,0
15,John McEnroe,32,0,0,0,0
16,Derrick Rostagno,25,0,0,0,0
17,Goran Prpic,27,0,0,0,0
18,Goran Ivanisevic,19,0,0,0,0
19,Jakob Hlasek,26,0,0,0,0
20,Brad Gilbert,30,0,0,0,0
21,Richey Reneberg,25,0,0,0,0
22,Jonas Svensson,24,0,0,0,0
23,Andrei Chesnokov,25,0,0,0,0
24,Alexander Volkov,24,0,0,0,0
25,Petr Korda,23,0,0,0,0
26,Horst Skoff,22,0,0,0,0
27,Alberto Mancini,22,0,0,0,0
28,Michael Chang,19,0,0,0,0
29,Guillermo Perez-Roldan,21,0,0,0,0
30,Cristiano Caratti,21,0,0,0,0
31,Anders Jarryd,30,0,0,0,0
32,Omar Camporese,23,0,0,0,0
33,Todd Woodbridge,20,0,0,0,0
34,Martin Jaite,26,0,0,0,0
35,Patrick McEnroe,25,0,0,0,0
36,Jaime Yzaga,23,0,0,0,0
37,Richard Krajicek,19,0,0,0,0
38,Ronald Agenor,26,0,0,0,0
39,Mark Koevermans,23,0,0,0,0
40,Fabrice Santoro,18,0,0,0,0
41,Marc Rosset,20,0,0,0,0
42,Jan Siemerink,21,0,0,0,0
43,Francisco Clavet,22,0,0,0,0
44,Aaron Krickstein,24,0,0,0,0
45,Thomas Muster,23,0,0,0,0
46,Franco Davin,21,0,0,0,0
47,Thierry Champion,24,0,0,0,0
48,Christian Bergstrom,24,0,0,0,0
49,Amos Mansdorf,25,0,0,0,0
50,Renzo Furlan,21,0,0,0,0
51,Peter Lundgren,26,0,0,0,0
52,MaliVai Washington,22,0,0,0,0
53,Jordi Arrese,26,0,0,0,0
54,Paul Haarhuis,25,0,0,0,0
55,Javier Sanchez,23,0,0,0,0
56,Carl-Uwe Steeb,23,0,0,0,0
57,Nicklas Kulti,20,0,0,0,0
58,Darren Cahill,25,0,0,0,0
59,Wally Masur,28,0,0,0,0
60,Magnus Larsson,21,0,0,0,0
61,Marian Vajda,26,0,0,0,0
62,Mats Wilander,26,0,0,0,0
63,Jimmy Arias,26,0,0,0,0
64,Veli Paloheimo,23,0,0,0,0
65,Jean-Philippe Fleurian,25,0,0,0,0
66,Shuzo Matsuoka,23,0,0,0,0
67,Stefano Pescosolido,20,0,0,0,0
68,Cedric Pioline,22,0,0,0,0
69,Wayne Ferreira,19,0,0,0,0
70,Jan Gunnarsson,29,0,0,0,0
71,Grant Connell,25,0,0,0,0
72,Tomas Carbonell,23,0,0,0,0
73,Kevin Curren,33,0,0,0,0
74,Luiz Mattar,27,0,0,0,0
75,Pat Cash,26,0,0,0,0
76,Christian Saceanu,23,0,0,0,0
77,Horacio De La Pena,25,0,0,0,0
78,Guillaume Raoux,21,0,0,0,0
79,Alexander Mronz,26,0,0,0,0
80,Jacco Eltingh,20,0,0,0,0
81,Patrik Kuhnen,25,0,0,0,0
82,Gary Muller,26,0,0,0,0
83,Patrick Baur,26,0,0,0,0
84,Lars Jonsson,21,0,0,0,0
85,Eric Jelen,26,0,0,0,0
86,Christo Van Rensburg,28,0,0,0,0
87,Bart Wuyts,21,0,0,0,0
88,Marcelo Filippini,24,0,0,0,0
89,Gilad Bloom,24,0,0,0,0
90,Luis Herrera,19,0,0,0,0
91,Mark Woodforde,25,0,0,0,0
92,Jaime Oncins,21,0,0,0,0
93,Rodolphe Gilbert,22,0,0,0,0
94,German Lopez,19,0,0,0,0
95,Javier Frana,24,0,0,0,0
96,Markus Zoecke,23,0,0,0,0
97,Tim Mayotte,31,0,0,0,0
98,Claudio Pistolesi,23,0,0,0,0
99,Scott Davis,28,0,0,0,0
100,Andrei Olhovskiy,25,0,0,0,0
101,Diego Nargiso,21,0,0,0,0
102,Jeff Tarango,22,0,0,0,0
103,Eduardo Masso,27,0,0,0,0
104,Dimitri Poliakov,23,0,0,0,0
105,Chuck Adams,20,0,0,0,0
106,Bryan Shelton,25,0,0,0,0
107,Lars Koslowski,20,0,0,0,0
108,Roberto Azar,25,0,0,0,0
109,Ramesh Krishnan,30,0,0,0,0
110,Gabriel Markus,21,0,0,0,0
111,Jim Grabb,27,0,0,0,0
112,Nuno Marques,21,0,0,0,0
113,Todd Witsken,27,0,0,0,0
114,Pablo Arraya,29,0,0,0,0
115,David Pate,29,0,0,0,0
116,Jason Stoltenberg,21,0,0,0,0
117,Thomas Hogstedt,27,0,0,0,0
118,Paolo Cane,26,0,0,0,0
119,Frederic Fontang,21,0,0,0,0
120,Kelly Evernden,29,0,0,0,0
121,Richard Fromberg,21,0,0,0,0
122,Francisco Roig,23,0,0,0,0
123,Arnaud Boetsch,22,0,0,0,0
124,Chris Garner,22,0,0,0,0
125,Jose Francisco Altur,23,0,0,0,0
126,Henrik Holm,22,0,0,0,0
127,Udo Riglewski,25,0,0,0,0
128,Danilo Marcelino,25,0,0,0,0
129,Fernando Roese,25,0,0,0,0
130,Henri Leconte,28,0,0,0,0
131,Carlos Costa,23,0,0,0,0
132,Andres Gomez,31,0,0,0,0
133,Yannick Noah,31,0,0,0,0
134,Michiel Schapers,31,0,0,0,0
135,Alex Antonitsch,25,0,0,0,0
136,Martin Sinner,23,0,0,0,0
137,Jay Berger,24,0,0,0,0
138,Tomas Anzari,21,0,0,0,0
139,Johan Anderson,19,0,0,0,0
140,Olivier Delaitre,24,0,0,0,0
141,Gianluca Pozzi,26,0,0,0,0
142,Slava Dosedel,20,0,0,0,0
143,Marcos Aurelio Gorriz,27,0,0,0,0
144,Claudio Mezzadri,26,0,0,0,0
145,Karsten Braasch,24,0,0,0,0
146,Glenn Layendecker,30,0,0,0,0
147,Martin Wostenholme,28,0,0,0,0
148,Daniel Orsanic,23,0,0,0,0
149,David Rikl,20,0,0,0,0
150,Todd Martin,21,0,0,0,0
151,Martin Laurendeau,27,0,0,0,0
152,Francisco Montana,21,0,0,0,0
153,David Engel,23,0,0,0,0
154,Christian Miniussi,24,0,0,0,0
155,Brad Pearce,25,0,0,0,0
156,Cassio Motta,31,0,0,0,0
157,Jamie Morgan,20,0,0,0,0
158,Neil Borwick,23,0,0,0,0
159,Vaclav Roubicek,23,0,0,0,0
160,Chris Pridham,26,0,0,0,0
161,Dan Goldie,27,0,0,0,0
162,Joao Cunha-Silva,23,0,0,0,0
163,Simon Youl,26,0,0,0,0
164,Aki Rahunen,19,0,0,0,0
165,Tomas Nydahl,23,0,0,0,0
166,Tarik Benhabiles,26,0,0,0,0
167,Pedro Rebolledo,30,0,0,0,0
168,John Fitzgerald,30,0,0,0,0
169,Bruno Oresar,24,0,0,0,0
170,Carl Limberger,27,0,0,0,0
171,Mark Kratzmann,25,0,0,0,0
172,Juan Aguilera,29,0,0,0,0
173,Jose Daher,25,0,0,0,0
174,Massimo Cierro,27,0,0,0,0
175,Markus Zillner,21,0,0,0,0
176,Martin Strelba,24,0,0,0,0
177,Brett Steven,22,0,0,0,0
178,Martin Damm,19,0,0,0,0
179,Robbie Weiss,24,0,0,0,0
180,Markus Rackl,22,0,0,0,0
181,Nicola Bruno,20,0,0,0,0
182,Luis Lobo,20,0,0,0,0
183,Jan Apell,21,0,0,0,0
184,Steve Bryan,21,0,0,0,0
185,John Stimpson,22,0,0,0,0
186,Nicolas Pereira,20,0,0,0,0
187,Paolo Pambianco,24,0,0,0,0
188,Marcos Ondruska,18,0,0,0,0
189,Markus Naewie,21,0,0,0,0
190,Niclas Kroon,25,0,0,0,0
191,Michael Tauson,25,0,0,0,0
192,Jimmy Brown,26,0,0,0,0
193,Vladimir Gabrichidze,23,0,0,0,0
194,Dinu Pescariu,17,0,0,0,0
195,Mark Keil,24,0,0,0,0
196,Leonardo Lavalle,24,0,0,0,0
197,Johan Carlsson,25,0,0,0,0
198,Diego Perez,29,0,0,0,0
199,Slobodan Zivojinovic,28,0,0,0,0
200,Jimmy Connors,38,0,0,0,0
201,Andres Vysand,25,0,0,0,0
202,Marcelo Ingaramo,28,0,0,0,0
203,Libor Nemecek,22,0,0,0,0
204,Nduka Odizor,33,0,0,0,0
205,Arne Thoms,20,0,0,0,0
206,Thierry Guardiola,20,0,0,0,0
207,Oliver Fernandez,18,0,0,0,0
208,Sandon Stolle,21,0,0,0,0
209,Andrew Sznajder,24,0,0,0,0
210,Jeremy Bates,29,0,0,0,0
211,Felix Barrientos,23,0,0,0,0
212,Tommy Ho,18,0,0,0,0
213,Brian Garrow,23,0,0,0,0
214,Martin Stringari,19,0,0,0,0
215,Grant Stafford,20,0,0,0,0
216,Eduardo Bengoechea,32,0,0,0,0
217,Federico Sanchez,20,0,0,0,0
218,Peter Nyborg,21,0,0,0,0
219,Fernando Meligeni,20,0,0,0,0
220,Kelly Jones,27,0,0,0,0
221,Raviv Weidenfeld,20,0,0,0,0
222,Byron Black,21,0,0,0,0
223,Steve DeVries,26,0,0,0,0
224,Christian Geyer,27,0,0,0,0
225,Francisco Maciel,27,0,0,0,0
226,Felipe Rivera,20,0,0,0,0
227,Mario Tabares,26,0,0,0,0
228,Scott Melville,25,0,0,0,0
229,Roberto Jabali,21,0,0,0,0
230,Mikael Pernfors,28,0,0,0,0
231,Miguel Nido,28,0,0,0,0
232,Maurice Ruah,20,0,0,0,0
233,Jens Woehrmann,23,0,0,0,0
234,Yahiya Doumbia,27,0,0,0,0
235,Thomas Buchmayer,20,0,0,0,0
236,Francisco Yunis,26,0,0,0,0
237,Lars-Anders Wahlgren,24,0,0,0,0
238,Fernando Luna,33,0,0,0,0
239,Andrew Castle,27,0,0,0,0
240,Brian Joelson,29,0,0,0,0
241,Glenn Michibata,29,0,0,0,0
242,Christer Allgardh,24,0,0,0,0
243,Branislav Stankovic,26,0,0,0,0
244,Bernd Karbacher,23,0,0,0,0
245,Francesco Cancellotti,28,0,0,0,0
246,Alvaro Jordan,29,0,0,0,0
247,Jose Antonio Fernandez,26,0,0,0,0
248,Nicolas Becerra,21,0,0,0,0
249,Cesar Kist,26,0,0,0,0
250,Jim Pugh,27,0,0,0,0
251,Dirk Dier,19,0,0,0,0
252,Milan Srejber,27,0,0,0,0
253,Boris Laustroer,21,0,0,0,0
254,T.J. Middleton,23,0,0,0,0
255,Daniel Marco,25,0,0,0,0
256,Massimo Ardinghi,20,0,0,0,0
257,Alessandro Dalboni,22,0,0,0,0
258,Roberto Arguello,28,0,0,0,0
259,Federico Mordegan,21,0,0,0,0
260,Richard Vogel,26,0,0,0,0
261,Mauro Menezes,28,0,0,0,0
262,Eric Winogradsky,25,0,0,0,0
263,Juan Carlos Baguena,24,0,0,0,0
264,Alejandro Aramburu,22,0,0,0,0
265,Philippe Pech,25,0,0,0,0
266,Paul Annacone,28,0,0,0,0
267,Jose-Luis Aparisi,22,0,0,0,0
268,Manuel Gasbarri,,0,0,0,0
269,Stephane Simian,24,0,0,0,0
270,Michael Brown,20,0,0,0,0
271,Nick Brown,29,0,0,0,0
272,Jonathan Canter,26,0,0,0,0
273,Pat Crow,25,0,0,0,0
274,Francesco Michelotti,,0,0,0,0
275,Lawson Duncan,26,0,0,0,0
276,Serge Soulie,22,0,0,0,0
277,Lan Bale,21,0,0,0,0
278,Lionel Barthez,24,0,0,0,0
279,Michael Robertson,28,0,0,0,0
280,Tom Nijssen,26,0,0,0,0
281,Christian Weis,23,0,0,0,0
282,Girts Dzelde,28,0,0,0,0
283,Marcelo Saliola,17,0,0,0,0
284,Frederik Fetterlein,21,0,0,0,0
285,Xavier Daufresne,22,0,0,0,0
286,Greg Failla,23,0,0,0,0
287,Otis Smith,25,0,0,0,0
288,Pablo Albano,24,0,0,0,0
289,Wojtek Kowalski,23,0,0,0,0
290,Carlos Claverie,,0,0,0,0
291,Juan Rios,24,0,0,0,0
292,Martin Blackman,21,0,0,0,0
293,Paul Vojtischek,28,0,0,0,0
294,Thierry Tulasne,28,0,0,0,0
295,Gustavo Garetto,26,0,0,0,0
296,Danie Visser,30,0,0,0,0
297,Rick Leach,26,0,0,0,0
298,Bertrand Madsen,19,0,0,0,0
299,Daniele Balducci,20,0,0,0,0
300,Olivier Soules,24,0,0,0,0
301,Juan Pino,26,0,0,0,0
302,Daniel Nestor,18,0,0,0,0
303,Hernan Gumy,19,0,0,0,0
304,Eui-Jong Chang,22,0,0,0,0
305,Mauricio Hadad,19,0,0,0,0
305,Fabio Silberberg,22,0,0,0,0
307,Jaime Cortes,26,0,0,0,0
308,Florian Krumrey,21,0,0,0,0
309,Sergio Cortes,23,0,0,0,0
310,Mike Briggs,22,0,0,0,0
311,Filip Dewulf,19,0,0,0,0
312,Clement N'Goran,22,0,0,0,0
313,Sebastien Lareau,18,0,0,0,0
314,Kent Kinnear,24,0,0,0,0
315,Gilbert Schaller,22,0,0,0,0
316,Laurent Prades,23,0,0,0,0
317,Jose Antonio (Pepe) Conde,21,0,0,0,0
318,Jacco Van Duyn,,0,0,0,0
319,Andrew Kratzmann,19,0,0,0,0
320,Joao Zwetsch,22,0,0,0,0
321,Alexander Reichel,20,0,0,0,0
