Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,25,4699,16,0,0
2,Michael Chang,25,3727,21,0,0
3,Goran Ivanisevic,25,2803,24,0,0
4,Thomas Muster,29,2769,24,0,0
5,Richard Krajicek,25,2449,21,0,0
6,Yevgeny Kafelnikov,23,2279,22,0,0
7,Alex Corretja,23,2208,27,0,0
8,Sergi Bruguera,26,2176,24,0,0
9,Thomas Enqvist,23,2148,25,0,0
10,Carlos Moya,20,2119,31,0,0
11,Marcelo Rios,21,2092,27,0,0
12,Albert Costa,21,1820,27,0,0
13,Boris Becker,29,1819,15,0,0
14,Alberto Berasategui,23,1803,32,0,0
15,Gustavo Kuerten,20,1763,27,0,0
16,Felix Mantilla,22,1743,31,0,0
17,Patrick Rafter,24,1707,25,0,0
18,Andrei Medvedev,22,1613,26,0,0
19,Mark Philippoussis,20,1579,21,0,0
20,Todd Martin,26,1578,13,0,0
21,Wayne Ferreira,25,1570,27,0,0
22,Tim Henman,22,1565,22,0,0
23,Bohdan Ulihrach,22,1399,29,0,0
24,Jonas Bjorkman,25,1339,25,0,0
25,Jan Siemerink,27,1317,26,0,0
26,Marc Rosset,26,1279,30,0,0
27,Petr Korda,29,1252,22,0,0
28,Jim Courier,26,1220,19,0,0
29,Andre Agassi,27,1203,14,0,0
30,Magnus Gustafsson,30,1176,17,0,0
31,Magnus Larsson,27,1159,23,0,0
32,Todd Woodbridge,26,1151,22,0,0
33,Thomas Johansson,22,1144,26,0,0
34,Alex O'Brien,27,1128,26,0,0
35,MaliVai Washington,27,1126,15,0,0
36,Stefan Edberg,31,1124,14,0,0
37,Jason Stoltenberg,27,1124,23,0,0
38,Francisco Clavet,28,1084,29,0,0
39,Marc-Kevin Goellner,26,1059,27,0,0
40,Magnus Norman,21,1055,24,0,0
41,Hicham Arazi,23,1020,33,0,0
42,Arnaud Boetsch,28,1015,24,0,0
43,Javier Sanchez,29,1010,36,0,0
44,Greg Rusedski,23,1009,20,0,0
45,Dominik Hrbaty,19,995,30,0,0
46,Cedric Pioline,27,949,23,0,0
47,Christian Ruud,24,916,28,0,0
48,David Prinosil,24,911,26,0,0
49,Richey Reneberg,31,909,20,0,0
50,Daniel Vacek,26,871,30,0,0
51,Martin Damm,24,867,26,0,0
52,Mikael Tillstrom,25,850,24,0,0
53,Marcelo Filippini,29,839,27,0,0
54,Albert Portas,23,823,28,0,0
55,Jonathan Stark,26,809,23,0,0
56,Lionel Roux,24,808,25,0,0
57,Fabrice Santoro,24,807,25,0,0
58,Filip Dewulf,25,801,30,0,0
59,Chris Woodruff,24,793,22,0,0
60,Karim Alami,24,781,30,0,0
61,Jiri Novak,22,776,21,0,0
62,Alex Radulescu,22,773,28,0,0
63,Paul Haarhuis,31,766,25,0,0
64,Karol Kucera,23,765,30,0,0
65,Mark Woodforde,31,762,25,0,0
66,Hernan Gumy,25,743,30,0,0
67,Byron Black,27,724,27,0,0
68,Sandon Stolle,26,695,25,0,0
69,Johan Van Herck,23,695,28,0,0
70,Renzo Furlan,27,678,29,0,0
71,Juan Albert Viloca-Puig,24,655,34,0,0
72,Galo Blanco,20,647,36,0,0
73,Jeff Tarango,28,631,26,0,0
74,Grant Stafford,26,630,21,0,0
