Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,25,5118,16,0,0
2,Michael Chang,25,3704,21,0,0
3,Yevgeny Kafelnikov,23,3008,21,0,0
4,Goran Ivanisevic,25,2819,24,0,0
5,Thomas Muster,29,2798,24,0,0
6,Richard Krajicek,25,2573,21,0,0
7,Marcelo Rios,21,2270,27,0,0
8,Alex Corretja,23,2162,27,0,0
9,Thomas Enqvist,23,2148,26,0,0
10,Carlos Moya,20,2119,31,0,0
11,Felix Mantilla,22,1841,32,0,0
12,Boris Becker,29,1819,15,0,0
13,Albert Costa,21,1804,27,0,0
14,Alberto Berasategui,23,1803,33,0,0
15,Wayne Ferreira,25,1647,27,0,0
16,Todd Martin,26,1641,14,0,0
17,Tim Henman,22,1565,21,0,0
18,Marc Rosset,26,1531,29,0,0
19,Sergi Bruguera,26,1511,24,0,0
20,Andrei Medvedev,22,1503,26,0,0
21,Mark Philippoussis,20,1479,21,0,0
22,Jim Courier,26,1438,19,0,0
23,Jonas Bjorkman,25,1399,24,0,0
24,Stefan Edberg,31,1384,16,0,0
25,Jan Siemerink,27,1320,26,0,0
26,Bohdan Ulihrach,22,1313,29,0,0
27,Michael Stich,28,1272,21,0,0
28,Andre Agassi,27,1222,15,0,0
29,Francisco Clavet,28,1222,29,0,0
30,Petr Korda,29,1217,22,0,0
31,Todd Woodbridge,26,1194,22,0,0
32,Cedric Pioline,27,1185,23,0,0
33,Patrick Rafter,24,1170,24,0,0
34,Thomas Johansson,22,1144,26,0,0
35,Alex O'Brien,27,1128,25,0,0
36,MaliVai Washington,27,1126,16,0,0
37,Jason Stoltenberg,27,1116,23,0,0
38,Marc-Kevin Goellner,26,1072,28,0,0
39,Magnus Gustafsson,30,1067,17,0,0
40,Magnus Larsson,27,1065,23,0,0
41,Greg Rusedski,23,1034,21,0,0
42,Javier Sanchez,29,1010,37,0,0
43,Richey Reneberg,31,1000,20,0,0
44,Arnaud Boetsch,28,980,23,0,0
45,Christian Ruud,24,933,29,0,0
46,Mikael Tillstrom,25,928,25,0,0
47,David Prinosil,24,911,26,0,0
48,Chris Woodruff,24,875,22,0,0
49,Martin Damm,24,873,27,0,0
50,Dominik Hrbaty,19,873,30,0,0
51,Daniel Vacek,26,871,30,0,0
52,Paul Haarhuis,31,864,25,0,0
53,Alex Radulescu,22,836,28,0,0
54,Hicham Arazi,23,826,34,0,0
55,Karol Kucera,23,819,30,0,0
56,Karim Alami,23,808,30,0,0
57,Fabrice Santoro,24,807,24,0,0
58,Hernan Gumy,25,804,31,0,0
59,Jonathan Stark,26,788,22,0,0
60,Jiri Novak,22,783,21,0,0
61,Lionel Roux,24,781,25,0,0
62,Scott Draper,22,766,27,0,0
63,Renzo Furlan,27,746,29,0,0
64,Gustavo Kuerten,20,727,28,0,0
65,Slava Dosedel,26,724,18,0,0
66,Byron Black,27,719,28,0,0
67,Albert Portas,23,710,26,0,0
68,Sandon Stolle,26,699,26,0,0
69,Johan Van Herck,22,695,29,0,0
70,Magnus Norman,20,685,23,0,0
71,Hendrik Dreekmann,22,652,19,0,0
72,Bernd Karbacher,29,650,19,0,0
73,Marcelo Filippini,29,647,26,0,0
74,Jeff Tarango,28,641,26,0,0
75,Grant Stafford,25,630,20,0,0
76,Juan Albert Viloca-Puig,24,628,33,0,0
77,Tommy Haas,19,610,14,0,0
78,Mark Woodforde,31,603,25,0,0
79,Sargis Sargsian,23,601,28,0,0
80,Andrei Chesnokov,31,590,24,0,0
81,Sjeng Schalken,20,590,27,0,0
82,Kenneth Carlsen,24,574,27,0,0
83,Nicklas Kulti,26,573,22,0,0
84,Jan Kroslak,22,571,22,0,0
85,Emilio Benfele Alvarez,24,571,26,0,0
86,Adrian Voinea,22,564,25,0,0
87,Gilbert Schaller,28,564,29,0,0
88,Alexander Volkov,30,548,20,0,0
89,Fernando Meligeni,26,544,23,0,0
90,Carlos Costa,29,539,27,0,0
91,Brett Steven,28,531,13,0,0
92,Dennis Van Scheppingen,21,520,22,0,0
93,Richard Fromberg,27,516,30,0,0
94,Andrei Pavel,23,515,26,0,0
95,Neville Godwin,22,508,17,0,0
96,Oliver Gross,23,472,22,0,0
97,Nicolas Kiefer,19,464,18,0,0
98,Nicolas Lapentti,20,462,30,0,0
99,Jakob Hlasek,32,458,12,0,0
100,Franco Squillari,21,454,22,0,0
101,Vincent Spadea,22,453,23,0,0
102,Marcos Aurelio Gorriz,33,442,29,0,0
103,Jerome Golmard,23,437,28,0,0
104,Marcos Ondruska,24,435,23,0,0
