Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Stefan Edberg,25,0,0,0,0
2,Boris Becker,23,0,0,0,0
3,Ivan Lendl,31,0,0,0,0
4,Andre Agassi,21,0,0,0,0
5,Sergi Bruguera,20,0,0,0,0
6,Pete Sampras,19,0,0,0,0
7,Guy Forget,26,0,0,0,0
8,Goran Ivanisevic,19,0,0,0,0
9,Jim Courier,20,0,0,0,0
10,Michael Chang,19,0,0,0,0
11,Emilio Sanchez,25,0,0,0,0
12,Michael Stich,22,0,0,0,0
13,Jonas Svensson,24,0,0,0,0
14,Karel Novacek,26,0,0,0,0
15,John McEnroe,32,0,0,0,0
16,Brad Gilbert,29,0,0,0,0
17,Andrei Cherkasov,20,0,0,0,0
18,Goran Prpic,27,0,0,0,0
19,Magnus Gustafsson,24,0,0,0,0
20,Jakob Hlasek,26,0,0,0,0
21,Richey Reneberg,25,0,0,0,0
22,Guillermo Perez-Roldan,21,0,0,0,0
23,Alexander Volkov,24,0,0,0,0
24,Derrick Rostagno,25,0,0,0,0
25,Horst Skoff,22,0,0,0,0
26,David Wheaton,21,0,0,0,0
27,Ronald Agenor,26,0,0,0,0
28,Cristiano Caratti,20,0,0,0,0
29,Marc Rosset,20,0,0,0,0
30,Richard Fromberg,21,0,0,0,0
31,Omar Camporese,23,0,0,0,0
32,Andrei Chesnokov,25,0,0,0,0
33,Andres Gomez,31,0,0,0,0
34,Martin Jaite,26,0,0,0,0
35,Darren Cahill,25,0,0,0,0
36,Nicklas Kulti,20,0,0,0,0
37,Anders Jarryd,29,0,0,0,0
38,Mark Koevermans,23,0,0,0,0
39,Marcelo Filippini,23,0,0,0,0
40,Todd Woodbridge,20,0,0,0,0
41,Jordi Arrese,26,0,0,0,0
42,Jan Siemerink,21,0,0,0,0
43,Patrick McEnroe,24,0,0,0,0
44,Amos Mansdorf,25,0,0,0,0
45,Horacio De La Pena,24,0,0,0,0
46,Magnus Larsson,21,0,0,0,0
47,Christian Bergstrom,23,0,0,0,0
48,Renzo Furlan,21,0,0,0,0
49,Aaron Krickstein,23,0,0,0,0
50,Fabrice Santoro,18,0,0,0,0
51,Jaime Yzaga,23,0,0,0,0
52,Francisco Clavet,22,0,0,0,0
53,Kevin Curren,33,0,0,0,0
54,Paul Haarhuis,25,0,0,0,0
55,Javier Sanchez,23,0,0,0,0
56,Franco Davin,21,0,0,0,0
57,Eric Jelen,26,0,0,0,0
58,Wally Masur,28,0,0,0,0
59,Jimmy Arias,26,0,0,0,0
60,Mats Wilander,26,0,0,0,0
61,Richard Krajicek,19,0,0,0,0
62,Todd Witsken,27,0,0,0,0
63,Henri Leconte,27,0,0,0,0
64,Thomas Muster,23,0,0,0,0
65,Scott Davis,28,0,0,0,0
66,Alberto Mancini,21,0,0,0,0
67,Gilad Bloom,24,0,0,0,0
68,Marian Vajda,26,0,0,0,0
69,Veli Paloheimo,23,0,0,0,0
70,Petr Korda,23,0,0,0,0
71,Jay Berger,24,0,0,0,0
72,Mark Woodforde,25,0,0,0,0
73,Carl-Uwe Steeb,23,0,0,0,0
74,Jim Grabb,27,0,0,0,0
75,Gary Muller,26,0,0,0,0
76,Thierry Champion,24,0,0,0,0
77,Peter Lundgren,26,0,0,0,0
78,Luiz Mattar,27,0,0,0,0
79,Wayne Ferreira,19,0,0,0,0
80,Jean-Philippe Fleurian,25,0,0,0,0
81,Tomas Carbonell,22,0,0,0,0
82,Pat Cash,25,0,0,0,0
83,Patrick Baur,26,0,0,0,0
84,MaliVai Washington,21,0,0,0,0
85,Grant Connell,25,0,0,0,0
86,Alexander Mronz,26,0,0,0,0
87,Aki Rahunen,19,0,0,0,0
88,David Pate,29,0,0,0,0
89,Guillaume Raoux,21,0,0,0,0
90,Tim Mayotte,30,0,0,0,0
91,Bart Wuyts,21,0,0,0,0
92,Jaime Oncins,20,0,0,0,0
93,Ramesh Krishnan,29,0,0,0,0
94,Patrik Kuhnen,25,0,0,0,0
95,Alex Antonitsch,25,0,0,0,0
96,Stefano Pescosolido,19,0,0,0,0
97,Luis Herrera,19,0,0,0,0
98,Udo Riglewski,24,0,0,0,0
99,Shuzo Matsuoka,23,0,0,0,0
100,Christo Van Rensburg,28,0,0,0,0
101,Jason Stoltenberg,21,0,0,0,0
102,Lars Jonsson,20,0,0,0,0
103,Cedric Pioline,21,0,0,0,0
104,Rodolphe Gilbert,22,0,0,0,0
105,Jacco Eltingh,20,0,0,0,0
106,Nuno Marques,21,0,0,0,0
107,Brad Pearce,25,0,0,0,0
108,Jeff Tarango,22,0,0,0,0
109,Eduardo Masso,27,0,0,0,0
110,Juan Aguilera,29,0,0,0,0
111,Pablo Arraya,29,0,0,0,0
112,Christian Saceanu,22,0,0,0,0
113,Claudio Pistolesi,23,0,0,0,0
114,Pedro Rebolledo,30,0,0,0,0
115,Joao Cunha-Silva,23,0,0,0,0
116,Yannick Noah,31,0,0,0,0
117,Dan Goldie,27,0,0,0,0
118,Dimitri Poliakov,23,0,0,0,0
119,Kelly Evernden,29,0,0,0,0
120,Jose Francisco Altur,23,0,0,0,0
121,Thomas Hogstedt,27,0,0,0,0
122,Chuck Adams,20,0,0,0,0
123,Henrik Holm,22,0,0,0,0
124,Tarik Benhabiles,26,0,0,0,0
125,Gabriel Markus,21,0,0,0,0
126,Javier Frana,24,0,0,0,0
127,Chris Garner,22,0,0,0,0
128,Cassio Motta,31,0,0,0,0
129,Robbie Weiss,24,0,0,0,0
130,Andrei Olhovskiy,25,0,0,0,0
131,Francisco Roig,23,0,0,0,0
132,Jan Gunnarsson,28,0,0,0,0
133,Martin Sinner,23,0,0,0,0
134,Bryan Shelton,25,0,0,0,0
135,Markus Zoecke,23,0,0,0,0
136,Danilo Marcelino,25,0,0,0,0
137,Diego Nargiso,21,0,0,0,0
138,Roberto Azar,25,0,0,0,0
139,Niclas Kroon,25,0,0,0,0
140,Arnaud Boetsch,22,0,0,0,0
141,Jimmy Brown,26,0,0,0,0
142,German Lopez,19,0,0,0,0
143,Fernando Roese,25,0,0,0,0
144,David Engel,23,0,0,0,0
145,Andrew Sznajder,23,0,0,0,0
146,Mark Kratzmann,25,0,0,0,0
147,Milan Srejber,27,0,0,0,0
148,Glenn Layendecker,30,0,0,0,0
149,Jamie Morgan,19,0,0,0,0
150,Slava Dosedel,20,0,0,0,0
151,Lawson Duncan,26,0,0,0,0
152,Fernando Luna,33,0,0,0,0
153,Johan Anderson,19,0,0,0,0
154,Olivier Delaitre,23,0,0,0,0
155,Jim Pugh,27,0,0,0,0
156,Martin Strelba,24,0,0,0,0
157,Neil Borwick,23,0,0,0,0
158,Karsten Braasch,23,0,0,0,0
159,Daniel Orsanic,22,0,0,0,0
160,Simon Youl,25,0,0,0,0
161,Brian Garrow,23,0,0,0,0
162,Tommy Ho,17,0,0,0,0
163,Paolo Pambianco,23,0,0,0,0
164,Frederic Fontang,21,0,0,0,0
165,Marcos Aurelio Gorriz,27,0,0,0,0
166,Diego Perez,29,0,0,0,0
167,Marcelo Ingaramo,28,0,0,0,0
168,Kelly Jones,27,0,0,0,0
169,Vaclav Roubicek,23,0,0,0,0
170,Eduardo Bengoechea,31,0,0,0,0
171,Bruno Oresar,24,0,0,0,0
172,Michael Tauson,24,0,0,0,0
173,Jose Daher,25,0,0,0,0
174,Chris Pridham,26,0,0,0,0
175,Francisco Montana,21,0,0,0,0
176,Martin Wostenholme,28,0,0,0,0
177,Maurice Ruah,20,0,0,0,0
178,Martin Laurendeau,26,0,0,0,0
179,Slobodan Zivojinovic,27,0,0,0,0
180,Brett Steven,22,0,0,0,0
181,Massimo Cierro,27,0,0,0,0
182,Gianluca Pozzi,25,0,0,0,0
183,Johan Carlsson,25,0,0,0,0
184,Felipe Rivera,20,0,0,0,0
185,Scott Melville,24,0,0,0,0
186,Tomas Anzari,20,0,0,0,0
187,John Stimpson,22,0,0,0,0
188,Steve Bryan,20,0,0,0,0
189,Felix Barrientos,23,0,0,0,0
190,Dinu Pescariu,17,0,0,0,0
191,Tomas Nydahl,23,0,0,0,0
192,Marcos Ondruska,18,0,0,0,0
193,Sandon Stolle,20,0,0,0,0
194,David Rikl,20,0,0,0,0
195,Miguel Nido,28,0,0,0,0
196,Vladimir Gabrichidze,23,0,0,0,0
197,Andres Vysand,25,0,0,0,0
198,Jan Apell,21,0,0,0,0
199,Carlos Costa,23,0,0,0,0
200,Scott Patridge,25,0,0,0,0
201,Pieter Aldrich,25,0,0,0,0
202,Nduka Odizor,32,0,0,0,0
203,Andrew Castle,27,0,0,0,0
204,Joey Rive,27,0,0,0,0
205,Luis Lobo,20,0,0,0,0
206,Jose Antonio Fernandez,26,0,0,0,0
207,Paul Chamberlin,29,0,0,0,0
208,Pablo Albano,24,0,0,0,0
209,Boris Laustroer,20,0,0,0,0
210,Thierry Tulasne,27,0,0,0,0
211,Nicolas Pereira,20,0,0,0,0
212,Jeremy Bates,28,0,0,0,0
213,Christian Geyer,27,0,0,0,0
214,Jose-Luis Aparisi,22,0,0,0,0
215,Mark Keil,23,0,0,0,0
216,Francisco Yunis,26,0,0,0,0
217,Jens Woehrmann,23,0,0,0,0
218,Martin Damm,18,0,0,0,0
219,Carl Limberger,27,0,0,0,0
220,Peter Nyborg,21,0,0,0,0
221,Christian Miniussi,23,0,0,0,0
222,John Fitzgerald,30,0,0,0,0
223,Claudio Mezzadri,25,0,0,0,0
224,Paolo Cane,26,0,0,0,0
225,T.J. Middleton,23,0,0,0,0
226,Michiel Schapers,31,0,0,0,0
227,Steve DeVries,26,0,0,0,0
228,Frederik Fetterlein,20,0,0,0,0
229,Markus Naewie,21,0,0,0,0
230,Leif Shiras,31,0,0,0,0
231,Christer Allgardh,24,0,0,0,0
232,Rick Leach,26,0,0,0,0
233,Roberto Jabali,21,0,0,0,0
234,Joao Zwetsch,22,0,0,0,0
235,Fernando Meligeni,20,0,0,0,0
236,Paul Annacone,28,0,0,0,0
237,Oliver Fernandez,18,0,0,0,0
238,Christian Weis,22,0,0,0,0
239,Vicente Solves,22,0,0,0,0
240,Paul Wekesa,23,0,0,0,0
241,Bernd Karbacher,23,0,0,0,0
242,Nick Brown,29,0,0,0,0
243,Todd Martin,20,0,0,0,0
244,Stephane Grenier,23,0,0,0,0
245,Lars-Anders Wahlgren,24,0,0,0,0
246,Libor Nemecek,22,0,0,0,0
247,Eric Winogradsky,25,0,0,0,0
248,Branislav Stankovic,25,0,0,0,0
249,Greg Failla,23,0,0,0,0
250,Jonathan Canter,25,0,0,0,0
251,Tom Nijssen,26,0,0,0,0
252,Roberto Arguello,28,0,0,0,0
253,Jia-Ping Xia,22,0,0,0,0
