Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Andre Agassi,25,0,0,0,0
2,Pete Sampras,23,0,0,0,0
3,Boris Becker,27,0,0,0,0
4,Goran Ivanisevic,23,0,0,0,0
5,Thomas Muster,27,0,0,0,0
6,Michael Chang,23,0,0,0,0
7,Sergi Bruguera,24,0,0,0,0
8,Wayne Ferreira,23,0,0,0,0
9,Yevgeny Kafelnikov,21,0,0,0,0
10,Magnus Larsson,25,0,0,0,0
11,Alberto Berasategui,21,0,0,0,0
12,Michael Stich,26,0,0,0,0
13,Jim Courier,24,0,0,0,0
14,Todd Martin,24,0,0,0,0
15,Richard Krajicek,23,0,0,0,0
16,Marc Rosset,24,0,0,0,0
17,Stefan Edberg,29,0,0,0,0
18,Andrei Medvedev,20,0,0,0,0
19,Andrea Gaudenzi,21,0,0,0,0
20,Thomas Enqvist,21,0,0,0,0
21,Jonas Bjorkman,23,0,0,0,0
22,Karel Novacek,30,0,0,0,0
23,Bernd Karbacher,27,0,0,0,0
24,Gilbert Schaller,26,0,0,0,0
25,Alex Corretja,21,0,0,0,0
26,David Wheaton,25,0,0,0,0
27,Jason Stoltenberg,25,0,0,0,0
28,Jacco Eltingh,24,0,0,0,0
29,Guy Forget,30,0,0,0,0
30,Paul Haarhuis,29,0,0,0,0
31,Richard Fromberg,25,0,0,0,0
32,Mark Woodforde,29,0,0,0,0
33,Francisco Clavet,26,0,0,0,0
34,Fabrice Santoro,22,0,0,0,0
35,Alexander Volkov,28,0,0,0,0
36,Albert Costa,19,0,0,0,0
37,Aaron Krickstein,27,0,0,0,0
38,Patrick Rafter,22,0,0,0,0
39,Olivier Delaitre,27,0,0,0,0
40,MaliVai Washington,25,0,0,0,0
41,Javier Frana,28,0,0,0,0
42,Chuck Adams,24,0,0,0,0
43,Jaime Yzaga,27,0,0,0,0
44,Andrei Chesnokov,29,0,0,0,0
45,Martin Sinner,27,0,0,0,0
46,Richey Reneberg,29,0,0,0,0
47,Greg Rusedski,21,0,0,0,0
48,Brett Steven,26,0,0,0,0
49,Todd Woodbridge,24,0,0,0,0
50,Karol Kucera,21,0,0,0,0
51,Martin Damm,22,0,0,0,0
52,Daniel Vacek,24,0,0,0,0
53,Arnaud Boetsch,26,0,0,0,0
54,Jan Siemerink,25,0,0,0,0
55,Cedric Pioline,25,0,0,0,0
56,Vincent Spadea,20,0,0,0,0
57,Javier Sanchez,27,0,0,0,0
58,Petr Korda,27,0,0,0,0
59,Renzo Furlan,25,0,0,0,0
60,Jonathan Stark,24,0,0,0,0
61,Slava Dosedel,24,0,0,0,0
62,Oliver Gross,21,0,0,0,0
63,Marcelo Filippini,27,0,0,0,0
64,Patrick McEnroe,28,0,0,0,0
65,Byron Black,25,0,0,0,0
66,Christian Ruud,22,0,0,0,0
67,Bohdan Ulihrach,20,0,0,0,0
68,Carlos Costa,27,0,0,0,0
69,Marcelo Rios,19,0,0,0,0
70,Jeff Tarango,26,0,0,0,0
71,Andrei Olhovskiy,29,0,0,0,0
72,Oscar Martinez,21,0,0,0,0
73,Lionel Roux,22,0,0,0,0
74,Emilio Sanchez,29,0,0,0,0
75,Kenneth Carlsen,22,0,0,0,0
76,Jared Palmer,23,0,0,0,0
77,Jan Apell,25,0,0,0,0
78,Hendrik Dreekmann,20,0,0,0,0
79,Fernando Meligeni,24,0,0,0,0
80,Tomas Carbonell,26,0,0,0,0
81,Jeremy Bates,32,0,0,0,0
82,Marc-Kevin Goellner,24,0,0,0,0
83,Sebastien Lareau,22,0,0,0,0
84,Horst Skoff,26,0,0,0,0
85,David Prinosil,22,0,0,0,0
86,Jordi Arrese,30,0,0,0,0
87,Sjeng Schalken,18,0,0,0,0
88,Guillaume Raoux,25,0,0,0,0
