Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,21,0,0,0,0
2,Jim Courier,22,0,0,0,0
3,Stefan Edberg,27,0,0,0,0
4,Boris Becker,25,0,0,0,0
5,Sergi Bruguera,22,0,0,0,0
6,Ivan Lendl,33,0,0,0,0
7,Michael Stich,24,0,0,0,0
8,Andrei Medvedev,18,0,0,0,0
9,Petr Korda,25,0,0,0,0
10,Goran Ivanisevic,21,0,0,0,0
11,Michael Chang,21,0,0,0,0
12,Richard Krajicek,21,0,0,0,0
13,Thomas Muster,25,0,0,0,0
14,Karel Novacek,28,0,0,0,0
15,Wayne Ferreira,21,0,0,0,0
16,MaliVai Washington,24,0,0,0,0
17,Henrik Holm,24,0,0,0,0
18,Cedric Pioline,24,0,0,0,0
19,Alexander Volkov,26,0,0,0,0
20,Guy Forget,28,0,0,0,0
21,Wally Masur,30,0,0,0,0
22,Andre Agassi,23,0,0,0,0
23,Mark Woodforde,27,0,0,0,0
24,Todd Martin,22,0,0,0,0
25,Arnaud Boetsch,24,0,0,0,0
26,Emilio Sanchez,28,0,0,0,0
27,Marcos Ondruska,20,0,0,0,0
28,Marc Rosset,22,0,0,0,0
29,Amos Mansdorf,27,0,0,0,0
30,Fabrice Santoro,20,0,0,0,0
31,Andrei Chesnokov,27,0,0,0,0
32,David Wheaton,24,0,0,0,0
33,Magnus Gustafsson,26,0,0,0,0
34,Brad Gilbert,31,0,0,0,0
35,Bernd Karbacher,25,0,0,0,0
36,Jonas Svensson,26,0,0,0,0
37,Marc-Kevin Goellner,22,0,0,0,0
38,Francisco Clavet,24,0,0,0,0
39,Carlos Costa,25,0,0,0,0
40,Jan Siemerink,23,0,0,0,0
41,Christian Bergstrom,25,0,0,0,0
42,Richard Fromberg,23,0,0,0,0
43,Guillermo Perez-Roldan,23,0,0,0,0
44,Richey Reneberg,27,0,0,0,0
45,Stephane Simian,26,0,0,0,0
46,Guillaume Raoux,23,0,0,0,0
47,Brett Steven,24,0,0,0,0
48,Kenneth Carlsen,20,0,0,0,0
49,Jakob Hlasek,28,0,0,0,0
50,Jonathan Stark,22,0,0,0,0
51,Derrick Rostagno,27,0,0,0,0
52,Carl-Uwe Steeb,25,0,0,0,0
53,Jamie Morgan,22,0,0,0,0
54,Andrei Cherkasov,23,0,0,0,0
55,Jaime Yzaga,25,0,0,0,0
56,Jordi Arrese,28,0,0,0,0
57,Nicklas Kulti,22,0,0,0,0
58,Javier Sanchez,25,0,0,0,0
59,Horacio De La Pena,26,0,0,0,0
60,Jim Grabb,29,0,0,0,0
61,Andrei Olhovskiy,27,0,0,0,0
62,Magnus Larsson,23,0,0,0,0
63,Paul Haarhuis,27,0,0,0,0
64,Bryan Shelton,27,0,0,0,0
65,Gianluca Pozzi,28,0,0,0,0
66,Henri Leconte,30,0,0,0,0
67,Jason Stoltenberg,23,0,0,0,0
68,Omar Camporese,25,0,0,0,0
69,Franco Davin,23,0,0,0,0
70,Chuck Adams,22,0,0,0,0
71,Jeff Tarango,24,0,0,0,0
72,Jacco Eltingh,22,0,0,0,0
73,Tomas Carbonell,24,0,0,0,0
74,Alex Corretja,19,0,0,0,0
75,Jaime Oncins,23,0,0,0,0
76,Thomas Enqvist,19,0,0,0,0
77,Aaron Krickstein,25,0,0,0,0
78,Javier Frana,26,0,0,0,0
79,Anders Jarryd,31,0,0,0,0
80,Marcelo Filippini,25,0,0,0,0
81,Rodolphe Gilbert,24,0,0,0,0
82,Horst Skoff,24,0,0,0,0
83,Luiz Mattar,29,0,0,0,0
84,Renzo Furlan,23,0,0,0,0
85,David Prinosil,20,0,0,0,0
86,Alex O'Brien,23,0,0,0,0
87,Jordi Burillo,20,0,0,0,0
88,Luis Herrera,21,0,0,0,0
89,Patrick McEnroe,27,0,0,0,0
90,Todd Woodbridge,22,0,0,0,0
91,Karsten Braasch,25,0,0,0,0
92,Alberto Berasategui,20,0,0,0,0
93,Olivier Delaitre,26,0,0,0,0
94,Gabriel Markus,23,0,0,0,0
95,Patrik Kuhnen,27,0,0,0,0
96,Alberto Mancini,24,0,0,0,0
97,Younes El Aynaoui,21,0,0,0,0
98,Ronald Agenor,28,0,0,0,0
99,Mikael Pernfors,29,0,0,0,0
100,Slava Dosedel,22,0,0,0,0
101,Gilbert Schaller,24,0,0,0,0
102,Roberto Azar,27,0,0,0,0
103,Martin Damm,20,0,0,0,0
104,Byron Black,23,0,0,0,0
105,Jared Palmer,22,0,0,0,0
106,Daniel Vacek,22,0,0,0,0
107,Richard Matuszewski,28,0,0,0,0
108,Goran Prpic,29,0,0,0,0
109,Grant Stafford,22,0,0,0,0
110,Alex Antonitsch,27,0,0,0,0
111,Tommy Ho,20,0,0,0,0
112,David Rikl,22,0,0,0,0
113,Bart Wuyts,23,0,0,0,0
114,Fernando Meligeni,22,0,0,0,0
115,Christo Van Rensburg,30,0,0,0,0
116,Nicolas Pereira,22,0,0,0,0
117,Jose Francisco Altur,25,0,0,0,0
118,Sergio Cortes,25,0,0,0,0
119,Marcos Aurelio Gorriz,29,0,0,0,0
120,Carsten Arriens,24,0,0,0,0
121,Neil Borwick,25,0,0,0,0
122,Jonas Bjorkman,21,0,0,0,0
123,Joao Cunha-Silva,25,0,0,0,0
124,Kenny Thorne,27,0,0,0,0
125,Lars Jonsson,23,0,0,0,0
126,Claudio Mezzadri,28,0,0,0,0
127,Stefano Pescosolido,22,0,0,0,0
128,Martin Jaite,28,0,0,0,0
129,Jeremy Bates,31,0,0,0,0
130,Chris Pridham,28,0,0,0,0
131,Chris Wilkinson,23,0,0,0,0
132,Joern Renzenbrink,20,0,0,0,0
133,Markus Zoecke,25,0,0,0,0
134,Laurence Tieleman,20,0,0,0,0
135,Diego Nargiso,23,0,0,0,0
136,Martin Stringari,21,0,0,0,0
137,Sandon Stolle,22,0,0,0,0
138,Patrick Baur,28,0,0,0,0
139,Filip Dewulf,21,0,0,0,0
140,Robbie Weiss,26,0,0,0,0
141,Oliver Fernandez,20,0,0,0,0
142,Markus Naewie,23,0,0,0,0
143,Martin Strelba,26,0,0,0,0
144,John McEnroe,34,0,0,0,0
145,Daniel Orsanic,25,0,0,0,0
146,Dirk Dier,21,0,0,0,0
147,Francisco Roig,25,0,0,0,0
148,Gilad Bloom,26,0,0,0,0
149,Yevgeny Kafelnikov,19,0,0,0,0
150,Claudio Pistolesi,25,0,0,0,0
151,Greg Rusedski,19,0,0,0,0
152,Juan Gisbert Jr,19,0,0,0,0
153,Patrick Rafter,20,0,0,0,0
154,Andrew Sznajder,26,0,0,0,0
155,Mauricio Hadad,21,0,0,0,0
156,Dave Randall,26,0,0,0,0
157,Frederic Fontang,23,0,0,0,0
158,David Witt,20,0,0,0,0
159,Cristiano Caratti,23,0,0,0,0
160,Andrea Gaudenzi,19,0,0,0,0
161,Chris Garner,24,0,0,0,0
162,Massimo Valeri,21,0,0,0,0
163,Federico Sanchez,22,0,0,0,0
