Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Pete Sampras,22,0,0,0,0
2,Michael Stich,25,0,0,0,0
3,Jim Courier,23,0,0,0,0
4,Sergi Bruguera,23,0,0,0,0
5,Stefan Edberg,28,0,0,0,0
6,Andrei Medvedev,19,0,0,0,0
7,Goran Ivanisevic,22,0,0,0,0
8,Todd Martin,23,0,0,0,0
9,Michael Chang,21,0,0,0,0
10,Thomas Muster,26,0,0,0,0
11,Cedric Pioline,24,0,0,0,0
12,Magnus Gustafsson,27,0,0,0,0
13,Boris Becker,26,0,0,0,0
14,Petr Korda,26,0,0,0,0
15,Richard Krajicek,22,0,0,0,0
16,Ivan Lendl,33,0,0,0,0
17,Marc Rosset,23,0,0,0,0
18,Wayne Ferreira,22,0,0,0,0
19,Karel Novacek,28,0,0,0,0
20,Alexander Volkov,26,0,0,0,0
21,Wally Masur,30,0,0,0,0
22,Arnaud Boetsch,24,0,0,0,0
23,MaliVai Washington,24,0,0,0,0
24,Andre Agassi,23,0,0,0,0
25,Carlos Costa,25,0,0,0,0
26,Andrei Chesnokov,27,0,0,0,0
27,Amos Mansdorf,28,0,0,0,0
28,Mikael Pernfors,30,0,0,0,0
29,Mark Woodforde,28,0,0,0,0
30,Richey Reneberg,28,0,0,0,0
31,Marc-Kevin Goellner,23,0,0,0,0
32,Javier Sanchez,25,0,0,0,0
33,Brad Gilbert,32,0,0,0,0
34,Jaime Yzaga,26,0,0,0,0
35,Alberto Berasategui,20,0,0,0,0
36,Jonas Svensson,27,0,0,0,0
37,Paul Haarhuis,27,0,0,0,0
38,Magnus Larsson,23,0,0,0,0
39,Jonathan Stark,22,0,0,0,0
40,Aaron Krickstein,26,0,0,0,0
41,Andrei Cherkasov,23,0,0,0,0
42,Emilio Sanchez,28,0,0,0,0
43,Jason Stoltenberg,23,0,0,0,0
44,Marcos Ondruska,21,0,0,0,0
45,Richard Fromberg,23,0,0,0,0
46,Patrick McEnroe,27,0,0,0,0
47,Henrik Holm,25,0,0,0,0
48,Younes El Aynaoui,22,0,0,0,0
49,Nicklas Kulti,22,0,0,0,0
50,Javier Frana,27,0,0,0,0
51,Greg Rusedski,20,0,0,0,0
52,Patrick Rafter,21,0,0,0,0
53,Grant Stafford,22,0,0,0,0
54,Ronald Agenor,29,0,0,0,0
55,Karsten Braasch,26,0,0,0,0
56,Stefano Pescosolido,22,0,0,0,0
57,Thomas Enqvist,19,0,0,0,0
58,Brett Steven,24,0,0,0,0
59,David Rikl,22,0,0,0,0
60,Gilbert Schaller,24,0,0,0,0
61,Yevgeny Kafelnikov,19,0,0,0,0
62,Jakob Hlasek,29,0,0,0,0
63,Fabrice Santoro,21,0,0,0,0
64,Jan Siemerink,23,0,0,0,0
65,Jordi Arrese,29,0,0,0,0
66,Andrei Olhovskiy,27,0,0,0,0
67,Bernd Karbacher,25,0,0,0,0
68,Jordi Burillo,21,0,0,0,0
69,Renzo Furlan,23,0,0,0,0
70,Slava Dosedel,23,0,0,0,0
71,Jamie Morgan,22,0,0,0,0
72,Martin Damm,21,0,0,0,0
73,Andrea Gaudenzi,20,0,0,0,0
74,Horst Skoff,25,0,0,0,0
75,Alex Corretja,19,0,0,0,0
76,Stephane Simian,26,0,0,0,0
77,Horacio De La Pena,27,0,0,0,0
78,Guillaume Raoux,23,0,0,0,0
79,Anders Jarryd,32,0,0,0,0
80,Guillermo Perez-Roldan,24,0,0,0,0
81,Chuck Adams,22,0,0,0,0
82,Rodolphe Gilbert,25,0,0,0,0
83,Jacco Eltingh,23,0,0,0,0
84,David Wheaton,24,0,0,0,0
85,Marcelo Filippini,26,0,0,0,0
86,Henri Leconte,30,0,0,0,0
87,Tomas Carbonell,25,0,0,0,0
88,Jeff Tarango,25,0,0,0,0
89,Luiz Mattar,30,0,0,0,0
90,Alex Antonitsch,27,0,0,0,0
91,Jonas Bjorkman,21,0,0,0,0
92,Jeremy Bates,31,0,0,0,0
93,Daniel Vacek,22,0,0,0,0
94,Carl-Uwe Steeb,26,0,0,0,0
95,Derrick Rostagno,28,0,0,0,0
96,Franco Davin,24,0,0,0,0
97,Bryan Shelton,28,0,0,0,0
98,Fernando Meligeni,22,0,0,0,0
99,Olivier Delaitre,26,0,0,0,0
100,Francisco Clavet,25,0,0,0,0
101,Todd Woodbridge,22,0,0,0,0
102,Jared Palmer,22,0,0,0,0
103,Kenneth Carlsen,20,0,0,0,0
104,Byron Black,24,0,0,0,0
105,Gabriel Markus,23,0,0,0,0
106,Jean-Philippe Fleurian,28,0,0,0,0
107,Robbie Weiss,27,0,0,0,0
108,Mauricio Hadad,22,0,0,0,0
109,Joern Renzenbrink,21,0,0,0,0
110,Steve Bryan,23,0,0,0,0
111,Xavier Daufresne,25,0,0,0,0
112,Lars Jonsson,23,0,0,0,0
113,Goran Prpic,29,0,0,0,0
114,David Prinosil,20,0,0,0,0
115,Neil Borwick,26,0,0,0,0
116,Shuzo Matsuoka,26,0,0,0,0
117,Cristiano Caratti,23,0,0,0,0
118,Maurice Ruah,22,0,0,0,0
119,Gianluca Pozzi,28,0,0,0,0
120,Doug Flach,23,0,0,0,0
121,Diego Nargiso,23,0,0,0,0
122,Mark Petchey,23,0,0,0,0
123,Markus Zoecke,25,0,0,0,0
124,Christian Bergstrom,26,0,0,0,0
125,Patrik Kuhnen,27,0,0,0,0
126,Omar Camporese,25,0,0,0,0
127,Milen Velev,22,0,0,0,0
128,Chris Wilkinson,24,0,0,0,0
129,Daniel Orsanic,25,0,0,0,0
130,Alex O'Brien,23,0,0,0,0
131,Jose Francisco Altur,25,0,0,0,0
132,Sebastien Lareau,20,0,0,0,0
133,Jaime Oncins,23,0,0,0,0
134,Alexander Mronz,28,0,0,0,0
135,Claudio Mezzadri,28,0,0,0,0
136,Gerard Solves,25,0,0,0,0
137,Tomas Nydahl,25,0,0,0,0
138,Dimitri Poliakov,26,0,0,0,0
139,Christo Van Rensburg,31,0,0,0,0
140,Hendrik Dreekmann,19,0,0,0,0
141,Markus Naewie,24,0,0,0,0
142,Jan Apell,24,0,0,0,0
143,Karim Alami,20,0,0,0,0
144,Nicolas Pereira,23,0,0,0,0
145,Kenny Thorne,28,0,0,0,0
146,Oliver Fernandez,21,0,0,0,0
147,Dirk Dier,21,0,0,0,0
148,Richard Matuszewski,29,0,0,0,0
149,Alberto Mancini,24,0,0,0,0
150,David Engel,26,0,0,0,0
151,Joao Cunha-Silva,26,0,0,0,0
152,Tommy Ho,20,0,0,0,0
153,Christian Ruud,21,0,0,0,0
154,Sergio Cortes,26,0,0,0,0
155,Christian Miniussi,26,0,0,0,0
156,Bart Wuyts,24,0,0,0,0
157,David Nainkin,23,0,0,0,0
158,Filip Dewulf,21,0,0,0,0
159,Karol Kucera,19,0,0,0,0
160,Laurence Tieleman,21,0,0,0,0
161,Mark Knowles,22,0,0,0,0
162,Jozsef Krocsko,25,0,0,0,0
163,Kevin Ullyett,21,0,0,0,0
164,Federico Sanchez,23,0,0,0,0
165,Brent Larkham,22,0,0,0,0
166,Daniele Musa,21,0,0,0,0
167,Francisco Roig,25,0,0,0,0
168,Luis Herrera,22,0,0,0,0
169,Martin Stringari,22,0,0,0,0
170,Gilad Bloom,26,0,0,0,0
171,Paolo Cane,28,0,0,0,0
172,Massimo Valeri,21,0,0,0,0
173,Sandon Stolle,23,0,0,0,0
174,Chris Bailey,25,0,0,0,0
175,David Witt,20,0,0,0,0
176,Albert Costa,18,0,0,0,0
177,Jimmy Arias,29,0,0,0,0
178,Francisco Montana,24,0,0,0,0
179,Arne Thoms,23,0,0,0,0
180,Juan Gisbert Jr,19,0,0,0,0
181,Claudio Pistolesi,26,0,0,0,0
182,Chris Garner,24,0,0,0,0
183,Marcos Aurelio Gorriz,29,0,0,0,0
184,Mario Visconti,25,0,0,0,0
185,Patricio Arnold,22,0,0,0,0
186,Andrew Foster,21,0,0,0,0
187,Eyal Ran,21,0,0,0,0
188,Jose-Luis Noriega,24,0,0,0,0
189,Daniel Nestor,21,0,0,0,0
190,Jonathan Canter,28,0,0,0,0
191,Sandor Noszaly,21,0,0,0,0
192,Danilo Marcelino,27,0,0,0,0
193,Michael Geserer,24,0,0,0,0
194,Simon Youl,28,0,0,0,0
195,Andrei Merinov,22,0,0,0,0
196,Emilio Benfele Alvarez,21,0,0,0,0
197,Paul Kilderry,20,0,0,0,0
198,Fernon Wibier,22,0,0,0,0
199,Gaston Etlis,19,0,0,0,0
200,Alex Radulescu,19,0,0,0,0
201,Hernan Gumy,21,0,0,0,0
202,Lionel Barthez,26,0,0,0,0
203,Frederic Fontang,23,0,0,0,0
204,Jim Grabb,29,0,0,0,0
205,Christer Allgardh,26,0,0,0,0
206,Marcelo Ingaramo,31,0,0,0,0
207,Chris Pridham,28,0,0,0,0
208,Michael Tebbutt,23,0,0,0,0
209,Dave Randall,26,0,0,0,0
210,Martin Blackman,23,0,0,0,0
211,Michael Joyce,20,0,0,0,0
212,Albert Chang,22,0,0,0,0
213,Keith Evans,24,0,0,0,0
214,Martin Strelba,26,0,0,0,0
215,Sasa Hirszon,21,0,0,0,0
216,Simon Touzil,21,0,0,0,0
217,Johan Van Herck,19,0,0,0,0
218,Vladimir Gabrichidze,25,0,0,0,0
219,Mark Kaplan,26,0,0,0,0
220,David Adams,24,0,0,0,0
221,Paul Wekesa,26,0,0,0,0
222,Patrick Baur,28,0,0,0,0
223,Thomas Gollwitzer,27,0,0,0,0
224,Joshua Eagle,20,0,0,0,0
225,Filippo Messori,20,0,0,0,0
226,Thierry Champion,27,0,0,0,0
227,Roger Smith,30,0,0,0,0
228,Miguel Pastura,20,0,0,0,0
229,Peter Tramacchi,23,0,0,0,0
230,Lan Bale,24,0,0,0,0
231,Oliver Gross,20,0,0,0,0
232,Libor Nemecek,25,0,0,0,0
233,Mats Wilander,29,0,0,0,0
234,Roberto Jabali,23,0,0,0,0
235,Alejo Mancisidor,23,0,0,0,0
