Ranking,Player,Age,Points,Tourn_Played,Points_Dropping,Next_Best
1,Marcelo Rios,22,3719,21,0,0
2,Pete Sampras,26,3421,17,0,0
3,Patrick Rafter,25,3306,25,0,0
4,Petr Korda,30,3195,20,0,0
5,Carlos Moya,21,2902,26,0,0
6,Greg Rusedski,24,2706,24,0,0
7,Jonas Bjorkman,26,2650,24,0,0
8,Richard Krajicek,26,2642,18,0,0
9,Andre Agassi,28,2423,18,0,0
10,Yevgeny Kafelnikov,24,2418,31,0,0
11,Tim Henman,23,2290,30,0,0
12,Alex Corretja,24,2286,23,0,0
13,Karol Kucera,24,2185,25,0,0
14,Albert Costa,23,1921,24,0,0
15,Alberto Berasategui,25,1907,27,0,0
16,Goran Ivanisevic,26,1807,25,0,0
17,Thomas Enqvist,24,1737,21,0,0
18,Cedric Pioline,29,1712,24,0,0
19,Felix Mantilla,23,1626,25,0,0
20,Jan Siemerink,28,1438,27,0,0
21,Michael Chang,26,1432,17,0,0
22,Mark Philippoussis,21,1406,20,0,0
23,Magnus Gustafsson,31,1376,23,0,0
24,Thomas Muster,30,1317,19,0,0
25,Nicolas Kiefer,21,1312,23,0,0
26,Francisco Clavet,29,1286,28,0,0
27,Gustavo Kuerten,21,1281,25,0,0
28,Wayne Ferreira,26,1277,19,0,0
29,Fabrice Santoro,25,1206,25,0,0
30,Richard Fromberg,28,1195,34,0,0
31,Todd Martin,28,1175,20,0,0
32,Andrea Gaudenzi,25,1167,34,0,0
33,Byron Black,28,1125,23,0,0
34,Magnus Norman,22,1080,29,0,0
35,Jason Stoltenberg,28,1075,17,0,0
36,Bohdan Ulihrach,23,1069,30,0,0
37,Magnus Larsson,28,1056,19,0,0
38,Thomas Johansson,23,1042,28,0,0
39,Nicolas Escude,22,1021,23,0,0
40,Tommy Haas,20,966,24,0,0
41,Marc Rosset,27,936,28,0,0
42,Dominik Hrbaty,20,928,26,0,0
43,Fernando Meligeni,27,884,28,0,0
44,Vincent Spadea,24,876,30,0,0
45,Hicham Arazi,24,871,29,0,0
46,Scott Draper,24,840,19,0,0
47,Guillaume Raoux,28,837,27,0,0
48,Julian Alonso,21,830,35,0,0
49,Karim Alami,25,807,29,0,0
50,Davide Sanguinetti,25,800,32,0,0
51,Andrew Ilie,22,798,19,0,0
52,Sjeng Schalken,21,797,31,0,0
53,Daniel Vacek,27,795,30,0,0
54,Filip Dewulf,26,789,29,0,0
55,Franco Squillari,22,788,29,0,0
56,Nicolas Lapentti,21,784,31,0,0
57,Mark Woodforde,32,777,24,0,0
58,Carlos Costa,30,750,28,0,0
59,Jeff Tarango,29,739,31,0,0
60,Jan-Michael Gambill,21,731,28,0,0
61,Slava Dosedel,27,728,21,0,0
62,Todd Woodbridge,27,723,18,0,0
63,Gianluca Pozzi,33,714,36,0,0
64,Boris Becker,30,712,11,0,0
65,Jerome Golmard,24,689,24,0,0
66,Kenneth Carlsen,25,687,27,0,0
67,Jiri Novak,23,679,27,0,0
68,Martin Damm,26,678,27,0,0
69,Jim Courier,27,654,17,0,0
70,Mikael Tillstrom,26,648,23,0,0
71,Fernando Vicente,21,631,33,0,0
